optimised_on,target_n,lambda_liq,wavg_par_score,wavg_trace_score,imputed_weight_share,sector_L1_pp,rating_L1_pp,maturity_L1_pp,duration_diff,ytm,ytm_diff_pp,top10_issuer_pct,issuer_hhi
trace,50,0.75,0.8986089218281275,0.7429683483679308,0.13599999999999998,14.591,3.256,12.319,0.129,5.7224,0.1169,30.0,294.9
trace,50,1.0,0.8988701574532322,0.7450918013736019,0.15593847992020948,15.362,0.703,2.003,0.246,5.6609,0.0555,30.0,269.0
trace,50,1.5,0.895177355237715,0.7476063249297337,0.1147445382088387,13.949,1.673,4.037,0.346,5.6551,0.0497,30.0,267.0
trace,50,2.0,0.8951049556347709,0.7480286969527851,0.12500951642439467,14.34,1.04,4.973,0.348,5.6563,0.0509,30.0,268.7
trace,100,0.0,0.8457215523177126,0.684528479027268,0.20395512125100443,1.226,0.0,0.1,0.0,5.6054,0.0,26.36,180.2
trace,100,0.0025,0.8831248343516437,0.763909430343537,0.047378201661876236,9.355,0.001,0.1,0.002,5.6064,0.0009,30.0,266.7
trace,100,0.005,0.8833671484178619,0.7639866152824103,0.04832978178036704,9.355,0.003,0.1,0.004,5.6069,0.0015,30.0,266.2
trace,100,0.0075,0.877758434716042,0.7600854291663048,0.06410315025572194,2.126,0.009,0.971,0.018,5.6002,0.0053,30.0,234.7
trace,100,0.01,0.8825111327179461,0.7614302517728857,0.05178482204903502,6.719,0.018,0.1,0.003,5.6025,0.003,30.0,264.1
trace,100,0.015,0.8811232453929695,0.7610352305523393,0.09867500074376517,2.809,0.015,2.391,0.04,5.5981,0.0074,30.0,239.6
trace,100,0.02,0.8811226000877866,0.7610685833463281,0.09855287780465818,2.802,0.021,2.389,0.041,5.598,0.0074,30.0,239.5
trace,100,0.025,0.8807979521803581,0.7612493052455171,0.09514723799524825,2.802,0.027,2.385,0.043,5.5969,0.0085,30.01,238.5
trace,100,0.03,0.8794517944700356,0.7618400959464168,0.0811257337370217,2.816,0.033,2.372,0.051,5.5947,0.0108,30.01,239.4
trace,100,0.04,0.8791171024142301,0.76219818406602,0.07849104193048279,2.823,0.042,2.364,0.056,5.5902,0.0153,30.01,239.0
trace,100,0.05,0.8790600410165759,0.7623913578793964,0.07671546215462703,2.829,0.049,2.371,0.057,5.5895,0.0159,30.0,239.3
trace,100,0.06,0.8788119945887761,0.7625664388417913,0.07652330523695008,2.824,0.057,2.364,0.059,5.5873,0.0181,30.01,239.4
