N,lambda,liquidity_score,ytm_%,ytm_diff_pp,duration,duration_diff,sector_L1_pp,rating_L1_pp,maturity_L1_pp,top10_issuer_%,max_issuer_%,issuer_hhi
200,0.01,0.9011,5.6139,0.0085,7.861,0.004,0.669,0.006,0.1,30.0,3.0,211.0
200,0.015,0.9025,5.6172,0.0118,7.893,0.035,2.631,0.011,0.269,30.0,3.0,224.9
200,0.02,0.9019,5.6185,0.0131,7.85,0.007,2.631,0.019,0.1,30.0,3.0,226.9
200,0.025,0.9024,5.6131,0.0076,7.858,0.001,1.226,0.025,0.108,30.0,3.0,211.8
200,0.03,0.9022,5.6132,0.0078,7.858,0.001,1.226,0.03,0.112,30.02,3.0,212.7
200,0.04,0.9022,5.6133,0.0079,7.858,0.001,1.226,0.039,0.121,30.04,3.01,212.1
200,0.05,0.9024,5.6134,0.008,7.858,0.001,1.226,0.048,0.13,30.01,3.01,213.4
200,0.06,0.9024,5.6135,0.0081,7.858,0.001,1.226,0.057,0.138,30.02,3.01,213.8
200,0.075,0.9022,5.6399,0.0344,7.851,0.006,2.075,0.049,0.107,30.0,3.0,224.2
200,0.09,0.9009,5.6441,0.0386,7.872,0.015,2.075,0.049,0.173,30.0,3.0,233.5
200,0.1,0.901,5.6457,0.0403,7.872,0.015,2.082,0.05,0.174,30.01,3.0,232.9
200,0.125,0.9029,5.6439,0.0385,7.87,0.012,2.075,0.113,0.156,30.0,3.0,227.1
200,0.15,0.9031,5.6469,0.0414,7.87,0.013,2.078,0.138,0.158,30.0,3.0,228.0
200,0.175,0.9021,5.6347,0.0293,7.89,0.033,3.833,1.624,0.349,30.0,3.0,224.3
200,0.2,0.902,5.6411,0.0356,7.882,0.025,4.128,1.624,0.367,30.0,3.0,226.1
200,0.25,0.905,5.6415,0.0361,7.871,0.013,1.819,1.624,0.131,30.01,3.0,232.3
200,0.3,0.9035,5.6153,0.0099,7.87,0.013,2.794,0.297,0.865,30.0,3.0,212.1
200,0.4,0.9034,5.62,0.0146,7.866,0.009,3.401,0.401,1.031,30.0,3.0,211.0
200,0.5,0.9038,5.621,0.0155,7.865,0.007,3.972,0.504,1.151,30.0,3.0,211.3
200,0.75,0.9056,5.632,0.0266,7.817,0.041,5.39,0.767,0.913,30.0,3.0,209.8
200,1.0,0.9072,5.6595,0.0541,7.896,0.038,6.231,0.74,0.517,30.01,3.0,235.1
200,1.5,0.9094,5.6628,0.0574,7.836,0.021,9.829,1.024,1.194,30.0,3.0,240.2
200,2.0,0.9101,5.6689,0.0635,7.843,0.014,11.384,1.696,0.751,30.0,3.0,232.1
