category,benchmark_%,no_liq_N25_%,with_liq_N25_%,no_liq_N50_%,with_liq_N50_%,no_liq_N100_%,with_liq_N100_%,no_liq_N200_%,with_liq_N200_%
0-1yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-2yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-3yr,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-5yr,20.181,28.0,24.0,20.868,20.2,20.19,20.266,20.19,20.014
5-7yr,16.963,20.0,20.0,17.515,21.2,16.971,17.163,16.971,17.034
7-10yr,21.045,12.0,12.0,21.6,17.8,21.053,21.347,21.053,21.004
10-15yr,8.72,8.0,8.0,6.0,8.2,8.728,8.901,8.728,8.755
15-20yr,8.054,8.0,12.0,8.481,9.4,8.062,8.322,8.062,8.09
20yr+,24.987,24.0,24.0,25.536,23.2,24.995,24.001,24.995,25.103
