MATURITY,OFFERING_AMT,OFFERING_DATE,COMPLETE_CUSIP,AMOUNT_OUTSTANDING,COUPON
2055-01-14,1500000,2024-08-07,191216DZ0,1500000,5.2
2054-11-15,750000,2024-08-08,969457CN8,750000,5.8
2029-08-14,1000000,2024-08-12,532457CQ9,1000000,4.2
2034-08-14,1250000,2024-08-12,532457CR7,1250000,4.6
2054-08-14,1250000,2024-08-12,532457CS5,1250000,5.05
2064-08-14,750000,2024-08-12,532457CT3,750000,5.2
2030-08-15,1250000,2024-08-12,639057AS7,1250000,4.964
2029-08-09,1000000,2024-08-06,89236TMK8,1000000,4.55
2035-01-15,850000,2024-08-15,10112RBJ2,850000,5.75
2034-12-15,850000,2024-08-15,74834LBG4,850000,5
2034-11-15,800000,2024-08-15,958667AG2,800000,5.45
2034-10-15,1000000,2024-08-19,776696AJ5,1000000,4.9
2034-09-15,1250000,2024-08-19,25179MBG7,1250000,5.2
2054-09-15,1000000,2024-08-19,25179MBH5,1000000,5.75
2034-09-15,2200000,2024-08-20,501044DV0,2200000,5
2054-09-15,2100000,2024-08-20,501044DW8,2100000,5.5
2064-09-15,1500000,2024-08-20,501044DX6,1500000,5.65
2033-09-15,745668,2024-07-24,78409VBQ6,745668,5.25
2029-09-10,1300000,2024-09-03,00774MBL8,1300000,4.625
2034-09-10,1100000,2024-09-03,00774MBM6,1100000,4.95
2029-09-06,900000,2024-09-03,345397G23,900000,5.303
2029-10-06,1000000,2024-09-03,37045XEZ5,1000000,4.9
2034-09-06,750000,2024-09-03,37045XFA9,750000,5.45
2029-09-05,750000,2024-09-03,02665WFQ9,750000,4.4
2032-01-15,1150000,2024-09-03,57636QBB9,1150000,4.35
2030-09-10,800000,2024-09-03,06368L8L3,800000,4.64
2035-01-15,1100000,2024-09-03,57636QBC7,1100000,4.55
2034-09-10,750000,2024-09-03,89157XAD3,750000,4.724
2031-09-08,1200000,2024-09-03,24422EXX2,1200000,4.4
2054-09-10,1000000,2024-09-03,89157XAE1,1000000,5.275
2064-09-10,1250000,2024-09-03,89157XAF8,1250000,5.425
2034-09-15,750000,2024-09-03,87612EBS4,750000,4.5
2035-03-15,750000,2024-09-04,842587EA1,750000,4.85
