MATURITY,OFFERING_AMT,OFFERING_DATE,COMPLETE_CUSIP,AMOUNT_OUTSTANDING,COUPON
2031-03-25,1000000,2025-03-18,456837BR3,1000000,5.066
2036-03-25,1000000,2025-03-18,456837BS1,1000000,5.525
2036-03-27,2250000,2025-03-20,17327CBA0,2250000,5.333
2055-04-01,750000,2025-03-20,65473PAU9,1500000,5.85
2035-04-15,1000000,2025-03-20,87612EBT2,1000000,5
2035-03-03,900000,2025-02-26,58013MGA6,900000,4.95
2035-04-15,850000,2025-03-24,797440CG7,850000,5.4
2030-03-27,750000,2025-03-24,74949LAF9,750000,4.75
2035-03-27,750000,2025-03-24,74949LAG7,750000,5.25
2032-05-15,1250000,2025-03-24,87264ADS1,1250000,5.125
2035-05-15,1000000,2025-03-24,87264ADT9,1000000,5.3
2055-11-15,1250000,2025-03-24,87264ADU6,1250000,5.875
2035-04-02,2250000,2025-03-24,92343VGZ1,2250000,5.25
2031-05-02,1000000,2025-03-24,78017DAH1,1000000,4.97
2035-04-01,99.681,2025-03-26,24703TAP1,99.681,5.5
2030-04-01,1000000,2025-03-26,24703TAM8,1000000,5
2032-04-01,1000000,2025-03-26,24703TAN6,1000000,5.3
2035-04-01,900000,2025-03-26,925650AK9,900000,5.625
2030-04-15,1500000,2025-04-08,704326AA5,1500000,5.1
2032-04-15,1500000,2025-04-08,704326AB3,1500000,5.35
2035-04-15,1200000,2025-04-08,704326AC1,1200000,5.6
2030-08-15,750000,2025-04-10,25245BAC1,750000,5.125
2035-04-15,750000,2025-04-10,25245BAE7,750000,5.625
2031-04-17,2500000,2025-04-14,61747YFZ3,2500000,5.192
2036-04-17,3000000,2025-04-14,61747YGA7,3000000,5.664
2031-04-22,2500000,2025-04-14,46647PEY8,2500000,5.103
2036-04-22,3500000,2025-04-14,46647PEX0,3500000,5.572
2031-04-24,1000000,2025-04-15,606822DK7,1000000,5.159
2036-04-24,1500000,2025-04-15,606822DL5,1500000,5.615
2031-04-23,3000000,2025-04-15,38141GC93,3000000,5.218
2036-04-23,3000000,2025-04-15,95000U3V3,3000000,5.605
2031-04-23,2250000,2025-04-15,95000U3W1,3750000,5.15
2035-02-15,2177695,2025-04-08,92343VGY4,2177695,4.78
2030-06-01,1100000,2025-04-22,49456BBB6,1100000,5.15
2035-06-01,750000,2025-04-22,49456BBC4,750000,5.85
2030-04-24,1000000,2025-04-22,857477DB6,1000000,4.834
2030-04-28,1000000,2025-04-23,931142FN8,1000000,4.35
2035-04-28,1500000,2025-04-23,931142FP3,1500000,4.9
2030-04-30,750000,2025-04-28,718172DT3,750000,4.375
2030-05-15,750000,2025-04-28,02079KAK3,750000,4
2035-05-15,1250000,2025-04-28,02079KAL1,1250000,4.5
2055-05-15,1500000,2025-04-28,02079KAM9,1500000,5.25
2065-05-15,1500000,2025-04-28,02079KAN7,1500000,5.3
2035-08-15,750000,2025-04-28,369550BR8,750000,4.95
2031-05-07,2000000,2025-05-01,172967QA2,2000000,4.952
2030-03-15,998836,2025-04-01,09581CAD3,998836,5.8
2029-09-15,899418,2025-04-01,09581CAB7,899418,6.6
2035-05-15,850000,2025-05-05,20030NEP2,850000,5.3
2055-05-15,1000000,2025-05-05,20030NEQ0,1000000,6.05
2030-04-15,750000,2025-05-05,37045VBA7,750000,5.625
2030-05-12,1000000,2025-05-05,037833EZ9,1000000,4.2
2032-05-12,1000000,2025-05-05,037833FA3,1000000,4.5
2035-05-12,1000000,2025-05-05,037833FB1,1000000,4.75
2032-05-08,1000000,2025-05-05,053015AJ2,1000000,4.75
2035-05-15,750000,2025-05-05,74340XCR0,750000,5.25
2031-05-13,1250000,2025-05-06,693475CD5,1250000,4.899
2035-05-09,1000000,2025-05-06,231021BA3,1000000,5.3
2031-05-09,1500000,2025-05-06,251526DA4,1500000,5.297
2036-05-09,2000000,2025-05-06,06051GMW6,2000000,5.464
2031-05-13,2250000,2025-05-08,404280EW5,2250000,5.24
2036-05-13,2000000,2025-05-08,404280EX3,2000000,5.79
2030-05-15,750000,2025-05-12,89236TNJ0,750000,4.8
2031-05-15,1250000,2025-05-12,91159HJV3,1250000,5.083
2035-05-15,1700000,2025-05-12,149123CL3,1700000,5.2
2035-05-14,1250000,2025-05-12,911312CJ3,1250000,5.25
2055-05-14,1250000,2025-05-12,911312CK0,1250000,5.95
2065-05-14,1000000,2025-05-12,911312CL8,1000000,6.05
2055-05-19,1000000,2025-05-14,04686JAL5,1000000,6.625
2030-05-19,1250000,2025-05-14,980236AT0,1250000,5.4
2035-05-19,1250000,2025-05-14,980236AV5,1250000,6
2031-05-20,1250000,2025-05-15,89788MAU6,1250000,5.071
2034-11-22,795949,2025-04-21,09261HBW6,795949,6
2032-05-22,750000,2025-05-20,49177JAS1,750000,4.85
2031-05-23,1250000,2025-05-20,639057AV0,1250000,5.115
2035-05-29,750000,2025-05-19,960386AT7,750000,5.5
2030-01-15,745486,2025-04-23,83272GAD3,745486,5.2
2034-04-03,996905,2025-04-23,83272GAE1,996905,5.438
2054-04-03,996770,2025-04-23,83272GAF8,996770,5.777
2035-01-15,848660,2025-04-23,83272YAB8,848660,5.418
2035-06-03,800000,2025-05-27,29446MAN2,800000,5.125
2030-07-15,1000000,2025-05-27,37045XFJ0,1000000,5.45
2035-07-15,750000,2025-05-27,37045XFK7,750000,6.15
2030-02-15,748947,2025-04-24,04020EAD9,748947,5.6
2032-03-21,750000,2025-04-24,04020EAJ6,750000,6.2
2030-09-01,750000,2025-05-27,04010LBK8,750000,5.5
2030-06-03,700000,2025-05-27,89115KAB6,1150000,4.808
2030-08-15,1000000,2025-05-28,00206RMX7,1000000,4.7
2035-08-15,1250000,2025-05-28,00206RMY5,1250000,5.375
2056-08-15,1250000,2025-05-28,00206RMZ2,1250000,6.05
2035-08-15,850000,2025-06-02,694308KX4,850000,6
2030-06-05,800000,2025-06-02,24422EYE3,800000,4.55
2056-03-15,900000,2025-06-02,12189LBM2,900000,5.8
2035-08-15,900000,2025-06-02,620076CC1,900000,5.55
2035-06-15,850000,2025-06-03,36266GAC1,850000,5.5
2030-09-15,750000,2025-06-04,87612GAP6,750000,4.9
2036-02-15,750000,2025-06-04,87612GAQ4,750000,5.65
2030-07-10,1000000,2025-06-05,247361A32,1000000,5.25
2031-07-08,750000,2025-06-10,55261FAY0,750000,5.179
2030-06-23,800000,2025-06-11,115236AK7,800000,4.9
2035-06-23,1000000,2025-06-11,115236AM3,1000000,5.55
2055-06-23,1000000,2025-06-11,115236AN1,1000000,6.25
2031-01-15,750000,2025-06-17,29379VCK7,1350000,4.6
2036-01-15,750000,2025-06-17,29379VCL5,1500000,5.2
2032-07-15,1250000,2025-06-16,26875PAY7,1250000,5
2036-01-15,1250000,2025-06-16,26875PAZ4,1250000,5.35
2055-07-15,500000,2025-06-16,26875PBA8,750000,5.95
2031-01-15,750000,2025-06-17,91324PFP2,750000,4.65
2035-06-15,1000000,2025-06-17,91324PFQ0,1000000,5.3
2055-06-15,750000,2025-06-17,91324PFR8,750000,5.95
2035-06-20,900000,2025-06-16,29250NCK9,900000,5.55
2035-07-15,900000,2025-06-23,65473PAX3,900000,5.35
2036-01-15,800000,2025-06-23,744533BS8,800000,5.45
2030-07-01,750000,2025-06-24,65535HBZ1,750000,4.904
2030-07-08,1300000,2025-06-25,438127AE2,1300000,4.688
2035-07-08,1000000,2025-06-25,438127AF9,1000000,5.337
2030-07-01,600000,2025-06-25,95041AAF5,1000000,4.5
2035-07-01,650000,2025-06-25,95041AAG3,1250000,5.125
2030-07-01,750000,2025-06-24,961214GC1,750000,4.354
2031-07-08,1250000,2025-06-26,60687YDL0,1250000,4.711
2036-07-08,1000000,2025-06-26,60687YDM8,1000000,5.323
2035-07-07,1650000,2025-06-26,87406BAA0,1650000,5.2
2055-07-07,750000,2025-06-26,87406BAB8,750000,5.9
2030-06-30,750000,2025-06-26,969457CR9,750000,4.625
2035-09-30,750000,2025-06-26,969457CS7,750000,5.3
2030-07-15,1750000,2025-07-07,11135FCK5,1750000,4.6
2032-07-15,1750000,2025-07-07,11135FCL3,1750000,4.9
2035-07-15,2500000,2025-07-07,11135FCM1,2500000,5.2
2032-07-09,750000,2025-07-08,02665WGF2,750000,5.15
2036-07-21,1500000,2025-07-17,693475CE3,1500000,5.373
2032-07-23,850000,2025-07-21,713448GJ1,850000,4.65
2035-07-23,1250000,2025-07-21,713448GK8,1250000,5
2055-07-24,750000,2025-07-21,89417EAU3,750000,5.7
2030-07-29,1000000,2025-07-22,369604BZ5,1000000,4.3
2036-01-29,1000000,2025-07-22,369604CA9,1000000,4.9
2030-08-15,750000,2025-07-23,539830CL1,750000,4.4
2035-08-15,750000,2025-07-23,539830CM9,750000,5
2031-08-06,1000000,2025-07-28,78017DAM0,1000000,4.696
2035-08-15,1250000,2025-08-04,171239AM8,1250000,4.9
2031-02-15,1000000,2025-08-04,337738BP2,1000000,4.55
2035-08-11,1000000,2025-08-04,337738BQ0,1000000,5.25
2035-09-15,800000,2025-08-04,744448DC2,800000,5.15
2035-08-12,500000,2025-08-07,03769MAE6,850000,5.15
2031-02-15,1250000,2025-08-07,55336VCA6,1250000,4.8
2033-01-15,750000,2025-08-07,55336VCB4,750000,5
2035-09-15,1500000,2025-08-07,55336VCC2,1500000,5.4
2055-09-15,1000000,2025-08-07,55336VCD0,1000000,6.2
2032-10-15,750000,2025-08-06,682680DB6,750000,4.95
2035-10-15,1000000,2025-08-06,682680DC4,1000000,5.4
2055-10-15,1250000,2025-08-06,682680DD2,1250000,6.25
2035-09-15,1000000,2025-08-07,776696AM8,1000000,5.1
2055-09-01,900000,2025-08-06,03040WBG9,900000,5.7
2033-01-15,800000,2025-08-06,30225VAV9,800000,4.95
2046-08-11,1250000,2025-08-04,06738EDE2,1250000,5.86
2035-08-07,900000,2025-08-04,48251WAB0,900000,5.1
2035-09-01,1250000,2025-08-05,55354GAR1,1250000,5.25
2030-10-15,1200000,2025-08-11,166756BJ4,1200000,4.3
2032-10-15,1250000,2025-08-11,166756BK1,1250000,4.5
2035-10-15,900000,2025-08-11,166756BL9,900000,4.85
2032-09-15,750000,2025-08-11,126650EJ5,750000,5
2035-09-15,1500000,2025-08-11,126650EK2,1500000,5.45
2055-09-15,1250000,2025-08-11,126650EL0,1250000,6.2
2035-08-17,1000000,2025-08-11,98978VAX1,1000000,5
2035-10-01,800000,2025-08-12,828807EA1,800000,5.125
2031-03-15,750000,2025-08-18,532457DC9,750000,4.25
2032-10-15,1000000,2025-08-18,532457DD7,1000000,4.55
2035-10-15,1250000,2025-08-18,532457DE5,1250000,4.9
2055-10-15,1000000,2025-08-18,532457DF2,1000000,5.55
2065-10-15,1000000,2025-08-18,532457DG0,1000000,5.65
2035-12-01,1250000,2025-08-18,161175CS1,1250000,5.85
2055-12-01,750000,2025-08-18,161175CT9,750000,6.7
2036-02-13,750000,2025-08-18,58013MGC2,750000,5
2035-03-17,750000,2025-07-24,02344AAH1,750000,5.5
2031-09-08,1000000,2025-09-02,13607QFE7,1000000,4.58
2030-09-05,1250000,2025-09-02,345397H48,1250000,5.73
2031-09-12,1000000,2025-09-02,606822DN1,1000000,4.527
2036-09-12,1000000,2025-09-02,606822DQ4,1000000,5.188
2035-09-25,900000,2025-09-02,78081BAU7,900000,5.2
2055-09-05,1000000,2025-09-02,055451BM9,1000000,5.75
2030-09-15,750000,2025-09-02,58933YBQ7,750000,4.15
2032-09-15,1000000,2025-09-02,58933YBR5,1000000,4.55
2035-09-15,1750000,2025-09-02,58933YBS3,1750000,4.95
2055-09-15,1250000,2025-09-02,58933YBT1,1250000,5.7
2031-01-15,700000,2025-09-03,72650RBR2,1000000,4.7
2036-01-15,550000,2025-09-03,72650RBS0,1000000,5.6
2031-09-11,3000000,2025-09-04,172967QF1,3000000,4.503
2036-09-11,3000000,2025-09-04,172967QH7,3000000,5.174
2036-09-15,1750000,2025-09-08,95000U4B6,1750000,4.892
2035-09-15,1000000,2025-09-08,26441CCJ2,1000000,4.95
2055-09-15,750000,2025-09-08,26441CCK9,750000,5.7
2032-09-15,750000,2025-09-08,036752BJ1,750000,4.6
2036-01-15,1000000,2025-09-08,036752BK8,1000000,5
2035-09-15,825000,2025-09-08,927804GV0,825000,4.9
2055-09-15,875000,2025-09-08,927804GW8,875000,5.6
2031-09-15,850000,2025-09-08,06418GAW7,850000,4.338
2030-10-15,850000,2025-09-08,42824CCA5,850000,4.4
2055-09-11,850000,2025-09-09,754730AK5,850000,5.65
2035-09-15,1000000,2025-09-08,437076DK5,1000000,4.65
2031-01-15,1000000,2025-09-08,90353TAT7,1000000,4.15
2035-09-15,1250000,2025-09-08,90353TAU4,1250000,4.8
2030-09-15,1000000,2025-09-02,125523CX6,1000000,4.5
2032-09-15,1250000,2025-09-02,125523CY4,1250000,4.875
2036-01-15,1500000,2025-09-02,125523CZ1,1500000,5.25
2056-01-15,750000,2025-09-03,125523DA5,750000,6
2031-01-15,750000,2025-09-03,260543DN0,750000,4.8
2031-01-15,1089722,2025-08-08,26884LBD0,1089722,4.75
2031-09-22,1000000,2025-09-15,06368MXV1,1000000,4.35
2036-09-22,1000000,2025-09-15,80281LAY1,1000000,5.136
2032-11-01,1150000,2025-09-18,00206RNB4,1150000,4.55
2035-11-01,1250000,2025-09-18,00206RNC2,1250000,4.9
2045-11-01,1100000,2025-09-18,00206RND0,1100000,5.55
2054-11-01,1500000,2025-09-18,00206RNE8,1500000,5.7
2033-03-22,750000,2025-09-18,054989AF5,750000,4.625
2055-10-15,750000,2025-09-22,00108WAU4,750000,5.85
2030-10-15,1000000,2025-09-22,11135FCW9,1000000,4.2
2036-02-15,2250000,2025-09-22,11135FCY5,2250000,4.8
2031-02-15,1250000,2025-09-22,24703DBS9,1250000,4.5
2032-10-06,1250000,2025-09-22,24703DBT7,1250000,4.75
2036-02-15,1250000,2025-09-22,24703DBU4,1250000,5.1
2031-03-15,1100000,2025-09-23,548661EV5,1100000,4.25
2032-10-15,1300000,2025-09-23,548661EW3,1300000,4.5
2035-10-15,1200000,2025-09-23,548661EX1,1200000,4.85
2030-09-26,3000000,2025-09-24,68389XDH5,3000000,4.45
2032-09-26,3000000,2025-09-24,68389XDK8,3000000,4.8
2035-09-26,4000000,2025-09-24,68389XDM4,4000000,5.2
2045-09-26,2500000,2025-09-24,68389XDP7,2500000,5.875
2055-09-26,3500000,2025-09-24,68389XDR3,3500000,5.95
2065-09-26,2000000,2025-09-24,68389XDT9,2000000,6.1
2032-10-15,850000,2025-09-30,694308KY2,850000,5.05
2055-10-15,750000,2025-09-30,694308KZ9,750000,6.1
2032-10-07,750000,2025-09-30,883556DD1,750000,4.473
2035-10-07,750000,2025-09-30,883556DE9,750000,4.794
2037-01-15,691967,2025-09-22,20030NES6,1172013,5.168
2031-02-09,1000000,2025-10-06,12636YAH5,1000000,4.4
2036-02-09,1000000,2025-10-06,12636YAJ1,1000000,5
2033-01-15,800000,2025-10-06,87264ADW2,800000,4.625
2035-11-15,1000000,2025-10-06,87264ADX0,1000000,4.95
2056-01-15,1000000,2025-10-06,87264ADY8,1000000,5.7
2046-04-01,1006969,2025-08-29,31428XDS2,1006969,4.55
2050-05-15,1046687,2025-08-29,31428XDW3,1046687,5.25
2031-10-21,3000000,2025-10-14,38141GD35,3000000,4.369
2036-10-21,3500000,2025-10-14,38141GD43,3500000,4.939
2031-10-22,2000000,2025-10-15,46647PFD3,2000000,4.255
2036-10-22,3000000,2025-10-15,46647PFE1,3000000,4.81
2031-10-22,2500000,2025-10-17,61748UAM4,2500000,4.356
2036-10-22,3000000,2025-10-17,61748UAN2,3000000,4.892
2035-10-15,1250000,2025-10-06,89115KAJ9,1250000,4.928
2031-02-15,2745719,2025-09-18,11135FCQ2,2745719,2.45
2033-02-15,1745822,2025-09-18,11135FCR0,1745822,2.6
2041-02-15,2985324,2025-09-18,11135FCV1,2985324,3.5
2051-02-15,1748078,2025-09-18,11135FCS8,1748078,3.75
2033-04-15,2247572,2025-09-18,11135FCU3,2247572,3.419
2034-04-15,3240678,2025-09-18,11135FCT6,3240678,3.469
2036-10-23,1250000,2025-10-20,89788MAV4,1250000,4.964
2030-11-15,1000000,2025-10-27,032095AY7,1000000,4.125
2033-02-15,1250000,2025-10-27,032095AZ4,1250000,4.4
2036-02-15,1600000,2025-10-27,032095BA8,1600000,4.625
2055-11-15,1650000,2025-10-27,032095BB6,1650000,5.3
2030-10-29,750000,2025-10-27,718172DY2,750000,4
2032-10-29,850000,2025-10-27,718172DZ9,850000,4.25
2035-10-29,850000,2025-10-27,718172EA3,850000,4.625
2035-11-15,750000,2025-10-27,844741BM9,750000,5.25
2035-10-31,1000000,2025-10-28,345397H89,1000000,5.869
2032-11-15,1000000,2025-10-27,404119DE6,1000000,4.6
2035-11-15,1000000,2025-10-27,404119DF3,1000000,4.9
2055-11-15,750000,2025-10-27,404119DH9,750000,5.7
2031-11-04,1500000,2025-10-28,53944YBD4,1500000,4.425
2036-11-04,1250000,2025-10-28,53944YBE2,1250000,4.943
2031-11-03,1000000,2025-10-28,78017DAQ1,1000000,4.305
2030-11-06,1250000,2025-10-30,05971KAR0,1250000,4.551
2035-11-06,1250000,2025-10-30,05971KAS8,1250000,5.127
2032-11-03,1200000,2025-10-27,801060AJ3,1200000,4.2
2032-11-03,750000,2025-10-27,742718GP8,750000,4.1
2030-11-05,1750000,2025-11-03,66989HAY4,1750000,4.1
2032-11-05,925000,2025-11-03,66989HAZ1,925000,4.3
2035-11-05,925000,2025-11-03,66989HBA5,925000,4.6
2030-11-06,1000000,2025-11-03,822905AN5,1000000,4.125
2036-01-06,1000000,2025-11-03,822905AQ8,1000000,4.75
2030-11-15,1250000,2025-11-05,29390XAG9,1250000,4.6
2033-01-15,750000,2025-11-05,12505BAL4,750000,4.9
2035-11-14,1000000,2025-11-06,29446MAP7,1000000,4.75
2030-11-15,1700000,2025-11-06,37940XAW2,1700000,4.875
2032-11-15,1000000,2025-11-06,37940XAX0,1000000,5.2
2035-11-15,1750000,2025-11-06,37940XAY8,1750000,5.55
2036-07-30,1000000,2025-11-06,87612GAS0,1000000,5.4
2031-11-06,2250000,2025-10-30,404280FE4,2250000,4.619
2036-11-06,2250000,2025-10-30,404280FG9,2250000,5.133
2030-11-15,4000000,2025-10-30,30303MAB8,4000000,4.2
2032-11-15,4000000,2025-10-30,30303MAC6,4000000,4.6
2035-11-15,6500000,2025-10-30,30303MAD4,6500000,4.875
2045-11-15,4500000,2025-10-30,30303M8X3,4500000,5.5
2055-11-15,6500000,2025-10-30,30303MAE2,6500000,5.625
2065-11-15,4500000,2025-10-30,30303M8Y1,4500000,5.75
2036-01-15,400000,2025-11-13,113004AC9,850000,5.298
2055-11-15,900000,2025-11-17,209111GP2,900000,5.75
2036-01-15,800000,2025-11-17,83272YAC6,800000,5.185
2030-11-15,2500000,2025-11-03,02079KAW7,2500000,4.1
2032-11-15,1250000,2025-11-03,02079KAX5,1250000,4.375
2035-11-15,3500000,2025-11-03,02079KAY3,3500000,4.7
2045-11-15,2000000,2025-11-03,02079KAZ0,2000000,5.35
2055-11-15,4000000,2025-11-03,02079KBA4,4000000,5.45
2075-11-15,2750000,2025-11-03,02079KBB2,2750000,5.75
2035-11-26,1000000,2025-11-20,12527GAL7,1000000,5.3
2031-01-15,750000,2025-11-19,26875PBB6,750000,4.4
2036-01-15,1000000,2025-11-10,50249AAR4,1000000,5.875
2033-01-15,2000000,2025-11-10,92343VHF4,2000000,4.75
2036-01-15,2250000,2025-11-10,92343VHG2,2250000,5
2045-11-30,1500000,2025-11-10,92343VHH0,1500000,5.75
2055-11-30,3250000,2025-11-10,92343VHJ6,3250000,5.875
2065-11-30,2000000,2025-11-10,92343VHK3,2000000,6
2030-11-15,750000,2025-11-07,049463AG7,750000,4.95
2056-03-15,950000,2025-12-01,12189LBN0,950000,5.55
2032-12-15,850000,2025-12-02,03027XCR9,850000,4.7
2066-02-15,1150000,2025-12-02,341081HB6,1150000,5.6
2031-03-15,1000000,2025-12-01,58933YBX2,1000000,4.15
2032-12-04,1000000,2025-12-01,58933YBY0,1000000,4.45
2035-12-04,1500000,2025-12-01,58933YBZ7,1500000,4.75
2046-03-15,750000,2025-12-01,58933YCA1,750000,5.5
2055-12-04,1500000,2025-12-01,58933YCB9,1500000,5.55
2065-12-04,1000000,2025-12-01,58933YCC7,1000000,5.7
2031-12-10,1000000,2025-12-03,251526DD8,1000000,4.469
2030-11-20,2500000,2025-11-17,023135CT1,2500000,4.1
2033-03-20,1500000,2025-11-17,023135CU8,1500000,4.35
2035-11-20,3500000,2025-11-17,023135CV6,3500000,4.65
2055-11-20,3000000,2025-11-17,023135CW4,3000000,5.45
2065-11-20,2000000,2025-11-17,023135CY0,2000000,5.55
2030-07-15,750000,2025-11-25,829932AF9,750000,6.125
2032-03-15,499468,2025-11-24,03770DAF0,499468,6.55
2030-04-07,999060,2025-11-19,43475RAR7,999060,4.95
2035-04-07,981155,2025-11-19,43475RAT3,981155,5.4
2035-12-15,1000000,2025-11-19,071813DE6,1000000,5.65
2031-01-15,750000,2026-01-05,210385AQ3,750000,4.4
2066-01-15,800000,2026-01-05,210385AR1,800000,5.875
2033-04-06,1000000,2026-01-05,345397J38,1000000,5.753
2031-01-08,900000,2026-01-05,37045XFM3,900000,4.6
2032-01-14,1150000,2026-01-05,606822DS0,1150000,4.505
2037-01-14,1500000,2026-01-05,606822DT8,1500000,5.057
2032-01-15,1100000,2026-01-05,86562MED8,1100000,4.494
2037-01-15,1200000,2026-01-05,86562MEF3,1200000,5.046
2047-01-15,1000000,2026-01-05,86562MEG1,1000000,5.57
2036-03-15,1250000,2026-01-05,969457CV0,1250000,5.15
2030-11-15,1000000,2025-11-18,717081FD0,1000000,4.2
2032-11-15,1250000,2025-11-18,717081FE8,1250000,4.5
2035-11-15,1250000,2025-11-18,717081FF5,1250000,4.875
2056-03-15,1000000,2026-01-05,969457CW8,1000000,5.95
2031-04-12,750000,2026-01-05,04010LBM4,750000,5.25
2031-01-15,800000,2026-01-06,828807EB9,800000,4.3
2037-07-02,2159113,2025-11-24,92343VHC1,2159113,5.401
2033-01-15,850000,2026-01-06,00774MBU8,850000,4.75
2031-01-15,750000,2026-01-06,11135FCZ2,750000,4.3
2033-01-15,1250000,2026-01-06,11135FDA6,1250000,4.6
2036-01-15,1250000,2026-01-06,11135FDB4,1250000,4.95
2056-01-15,1250000,2026-01-06,11135FDD0,1250000,5.7
2031-01-13,1500000,2026-01-06,89158TAA7,1500000,4.248
2033-01-13,1250000,2026-01-06,89158TAB5,1250000,4.569
2036-01-13,750000,2026-01-06,89158TAC3,750000,4.857
2032-01-14,1100000,2026-01-07,06368ME67,1100000,4.439
2031-01-13,900000,2026-01-06,89115KAM2,900000,4.411
2036-02-15,1150000,2026-01-07,87264ADZ5,1150000,5
2056-02-15,850000,2026-01-07,87264AEA9,850000,5.85
2031-01-10,750000,2026-01-07,89236TPH2,750000,4.2
2031-01-15,1000000,2026-01-12,29273VBJ8,1000000,4.55
2036-01-15,1000000,2026-01-12,29273VBK5,1000000,5.35
2056-01-15,1000000,2026-01-12,29273VBL3,1000000,6.3
2036-02-15,1500000,2026-01-13,47233WLL1,1500000,5.5
2035-04-20,992404,2025-12-11,472140AB8,992404,5.95
2055-02-25,749800,2025-12-11,472140AD4,749800,6.375
2036-01-15,1245607,2025-12-11,472140AF9,1245607,5.5
2056-03-01,1247627,2025-12-11,472140AH5,1247627,6.25
2066-04-15,994858,2025-12-11,472140AK8,994858,6.375
2032-01-22,2600000,2026-01-14,46647PFG6,2600000,4.347
2037-01-22,3000000,2026-01-14,46647PFJ0,3000000,4.898
2032-01-21,3750000,2026-01-15,38145GAR1,3750000,4.516
2037-01-21,4500000,2026-01-15,38145GAS9,4500000,5.065
2047-01-21,2750000,2026-01-15,38145GAT7,2750000,5.541
2032-01-16,3250000,2026-01-15,61748UAS1,3250000,4.493
2037-01-23,3500000,2026-01-15,95000U4E0,3500000,4.96
2047-01-23,2000000,2026-01-15,95000U4F7,2000000,5.433
2037-01-28,750000,2026-01-21,49326EER0,750000,5.305
2032-01-26,1250000,2026-01-21,91159HJW1,1250000,4.481
2037-01-26,1000000,2026-01-21,91159HJY7,1000000,5.033
2034-02-02,1100000,2026-01-22,06418GAZ0,1100000,4.813
2031-01-23,750000,2026-01-23,03770DAL7,750000,5.7
2032-01-27,1250000,2026-01-22,89788MAW2,1250000,4.597
2032-01-28,1000000,2026-01-23,446150BK9,1000000,4.623
2032-04-29,1000000,2026-01-26,316773DN7,1000000,4.566
2037-01-29,1000000,2026-01-26,316773DP2,1000000,5.141
2036-02-03,1000000,2026-01-29,459200LT6,1000000,4.95
2056-02-03,750000,2026-01-29,459200LV1,750000,5.8
2037-01-30,4000000,2026-01-29,61748UAT9,4000000,5.073
2031-04-30,1500000,2026-01-29,00206RNF5,1500000,4.4
2036-04-30,1250000,2026-01-29,00206RNH1,1250000,5.125
2046-04-30,850000,2026-01-29,00206RNJ7,850000,5.85
2056-04-30,1650000,2026-01-29,00206RNK4,1650000,6
2036-02-04,1000000,2026-02-02,36828AAB7,1000000,4.875
2056-02-04,1000000,2026-02-02,36828AAC5,1000000,5.5
2031-02-04,3500000,2026-02-02,68389XDX0,3500000,4.95
2033-05-04,3000000,2026-02-02,68389XDY8,3000000,5.35
2036-02-04,5000000,2026-02-02,68389XDZ5,5000000,5.7
2046-02-04,2250000,2026-02-02,68389XEA9,2250000,6.55
2056-02-04,5000000,2026-02-02,68389XEB7,5000000,6.7
2066-02-04,2750000,2026-02-02,68389XEC5,2750000,6.85
2031-12-02,1400000,2021-11-17,13645RBF0,1400000,2.45
2038-12-15,2063148,2025-12-04,822905AT2,2063148,6.375
2047-02-10,1000000,2026-02-03,53944YBJ1,1000000,5.668
2036-04-01,1000000,2026-02-05,55336VCE8,1000000,5.3
2031-02-12,1000000,2026-02-09,883556DG4,1000000,4.215
2033-06-15,750000,2026-02-09,883556DH2,750000,4.55
2036-02-12,1300000,2026-02-09,883556DJ8,1300000,4.902
2046-02-12,750000,2026-02-09,883556DK5,750000,5.546
2031-02-15,3000000,2026-02-09,02079KBK2,3000000,4.1
2033-02-15,3000000,2026-02-09,02079KBL0,3000000,4.4
2036-02-15,4250000,2026-02-09,02079KBM8,4250000,4.8
2046-02-15,1500000,2026-02-09,02079KBN6,1500000,5.5
2056-02-15,4000000,2026-02-09,02079KBP1,4000000,5.65
2066-02-15,1750000,2026-02-09,02079KBQ9,1750000,5.75
2036-02-13,1000000,2026-02-10,03073EBE4,1000000,4.9
2036-03-15,750000,2026-02-10,015271BF5,750000,5.25
2031-03-14,1500000,2026-02-10,254687GD2,1500000,4
2036-03-14,1000000,2026-02-10,254687GE0,1000000,4.625
2031-02-19,1000000,2026-02-17,031162DV9,1000000,4.2
2036-02-19,1750000,2026-02-17,031162DW7,1750000,4.85
2056-02-19,750000,2026-02-17,031162DY3,750000,5.65
2036-03-01,800000,2026-02-18,23338VBB1,800000,4.85
2056-03-01,800000,2026-02-18,23338VBA3,800000,5.55
2036-03-15,775000,2026-02-18,30161NBV2,775000,4.95
2038-05-01,850000,2026-02-18,571903BZ5,850000,5.1
2036-05-01,1000000,2026-02-18,694308LA3,1000000,5.2
2056-05-01,800000,2026-02-18,694308LB1,800000,6
2033-03-15,800000,2026-02-19,29390XAH7,800000,4.7
2036-03-15,800000,2026-02-19,52532XAN5,800000,5
2036-04-15,750000,2026-02-23,29364WBR8,750000,4.9
2056-04-15,750000,2026-02-23,29364WBS6,750000,5.65
2031-03-15,2500000,2026-02-23,002824BS8,2500000,4
2033-03-15,2750000,2026-02-23,002824BT6,2750000,4.3
2036-03-15,3750000,2026-02-23,002824BU3,3750000,4.65
2038-03-15,2000000,2026-02-23,002824BV1,2000000,4.75
