cusip,isin,name,title,balance,valUSD,pctVal,assetCat,issuerCat,maturityDt,annualizedRt,couponKind
29250NCC7,US29250NCC74,ENBRIDGE INC,Enbridge Inc,8914000.0,9230651.13,0.030993318703,DBT,CORP,2034-04-05,5.63,Fixed
30231GAN2,US30231GAN25,EXXON MOBIL CORPORATION,Exxon Mobil Corp,7518000.0,5847805.63,0.019634899104,DBT,CORP,2045-03-06,3.57,Fixed
75513ECV1,US75513ECV11,RTX CORP,RTX Corp,5895000.0,6239111.19,0.02094876719,DBT,CORP,2031-03-15,6.0,Fixed
694308KJ5,US694308KJ55,PACIFIC GAS & ELECTRIC,Pacific Gas and Electric Co,7236000.0,7584325.12,0.025465528085,DBT,CORP,2033-01-15,6.15,Fixed
244199BL8,US244199BL82,DEERE & COMPANY,Deere & Co,8990000.0,9323234.13,0.031304180243,DBT,CORP,2035-01-16,5.45,Fixed
12704PAA6,US12704PAA66,CRH SMW FINANCE DAC,CRH SMW Finance DAC,1333000.0,1359010.7,0.004563085653,DBT,CORP,2029-05-21,5.2,Fixed
83272GAF8,US83272GAF81,SMURFIT KAPPA TREASURY,Smurfit Kappa Treasury ULC,8011000.0,7954774.8,0.026709369373,DBT,CORP,2054-04-03,5.78,Fixed
24422EXX2,US24422EXX20,JOHN DEERE CAPITAL CORP,John Deere Capital Corp,7725000.0,7677641.89,0.025778853369,DBT,CORP,2031-09-08,4.4,Fixed
29444UBE5,US29444UBE55,EQUINIX INC,Equinix Inc,7551000.0,7202281.98,0.024182759986,DBT,,2029-11-18,3.2,Fixed
21036PBE7,US21036PBE79,CONSTELLATION BRANDS INC,Constellation Brands Inc,4849000.0,4643527.5,0.015591351648,DBT,CORP,2029-08-01,3.15,Fixed
031162CR9,US031162CR97,AMGEN INC,Amgen Inc,15074000.0,11724505.95,0.039366816536,DBT,CORP,2040-02-21,3.15,Fixed
532457DF2,US532457DF26,ELI LILLY & CO,Eli Lilly & Co,7239000.0,7220336.41,0.024243380488,DBT,CORP,2055-10-15,5.55,Fixed
35137LAK1,US35137LAK17,FOX CORP,Fox Corp,11215000.0,10571453.02,0.035495265501,DBT,CORP,2049-01-25,5.58,Fixed
05971KAC3,US05971KAC36,BANCO SANTANDER SA,Banco Santander SA,3410000.0,3290507.12,0.011048379407,DBT,CORP,2029-06-27,3.31,Fixed
437076CJ9,US437076CJ91,HOME DEPOT INC,Home Depot Inc/The,7581000.0,6639311.68,0.02229250136,DBT,CORP,2031-09-15,1.88,Fixed
902613AY4,US902613AY48,UBS GROUP AG,UBS Group AG,13709000.0,12409304.55,0.041666132257,DBT,CORP,2045-05-15,4.88,Fixed
874060AY2,US874060AY21,TAKEDA PHARMACEUTICAL,Takeda Pharmaceutical Co Ltd,10891000.0,8251544.37,0.027705818457,DBT,CORP,2040-07-09,3.03,Fixed
294429AT2,US294429AT25,EQUIFAX INC,Equifax Inc,6927000.0,6110153.61,0.020515772451,DBT,CORP,2031-09-15,2.35,Fixed
29379VCA9,US29379VCA98,ENTERPRISE PRODUCTS OPER,Enterprise Products Operating LLC,8190000.0,5439885.63,0.018265245502,DBT,CORP,2052-02-15,3.2,Fixed
86944BAQ6,US86944BAQ68,SUTTER HEALTH,Sutter Health,750000.0,775598.1,0.002604188887,DBT,CORP,2035-08-15,5.54,Fixed
125523CV0,US125523CV04,CIGNA GROUP/THE,Cigna Group/The,7095000.0,7188981.08,0.024138100186,DBT,CORP,2034-02-15,5.25,Fixed
031162DS6,US031162DS61,AMGEN INC,Amgen Inc,18600000.0,18446618.82,0.061937335518,DBT,CORP,2043-03-02,5.6,Fixed
00206RLV2,US00206RLV23,AT&T INC,AT&T Inc,48644000.0,31603106.89,0.106112250378,DBT,CORP,2059-09-15,3.65,Fixed
49456BAQ4,US49456BAQ41,KINDER MORGAN INC,Kinder Morgan Inc,6821000.0,6248903.63,0.0209816468,DBT,CORP,2048-03-01,5.2,Fixed
404119CV9,US404119CV94,HCA INC,HCA Inc,13531000.0,13222512.14,0.044396600742,DBT,CORP,2054-04-01,6.0,Fixed
29273VBA7,US29273VBA70,ENERGY TRANSFER LP,Energy Transfer LP,9629000.0,9851004.3,0.033076249066,DBT,CORP,2034-09-01,5.6,Fixed
06051GJA8,US06051GJA85,BANK OF AMERICA CORP,Bank of America Corp,44614000.0,35175743.23,0.118107921662,DBT,CORP,2051-03-20,4.08,Fixed
02665WFL0,US02665WFL00,AMERICAN HONDA FINANCE,American Honda Finance Corp,7144000.0,7187872.73,0.024134378732,DBT,CORP,2031-07-10,5.05,Fixed
26884LAR0,US26884LAR06,EQT CORP,EQT Corp,6146000.0,6354665.92,0.021336759816,DBT,CORP,2034-02-01,5.75,Fixed
91324PFG2,US91324PFG28,UNITEDHEALTH GROUP INC,UnitedHealth Group Inc,9056000.0,9143404.89,0.030700376148,DBT,CORP,2030-01-15,4.8,Fixed
681919BD7,US681919BD76,OMNICOM GROUP INC,Omnicom Group Inc,2400000.0,2157812.16,0.00724518336,DBT,CORP,2031-08-01,2.6,Fixed
375558BY8,US375558BY84,GILEAD SCIENCES INC,Gilead Sciences Inc,11380000.0,10101829.13,0.033918431679,DBT,CORP,2030-10-01,1.65,Fixed
036752BD4,US036752BD40,ELEVANCE HEALTH INC,Elevance Health Inc,6599000.0,6612748.36,0.022203310962,DBT,CORP,2035-02-15,5.2,Fixed
25179MBH5,US25179MBH51,DEVON ENERGY CORPORATION,Devon Energy Corp,6836000.0,6603664.87,0.022172811759,DBT,CORP,2054-09-15,5.75,Fixed
437076BH4,US437076BH45,HOME DEPOT INC,Home Depot Inc/The,11228000.0,9357151.34,0.031418062447,DBT,CORP,2046-04-01,4.25,Fixed
404119CB3,US404119CB31,HCA INC,HCA Inc,10477000.0,7011299.55,0.023541507356,DBT,CORP,2051-07-15,3.5,Fixed
863667AJ0,US863667AJ04,STRYKER CORP,Stryker Corp,7515000.0,6565286.61,0.022043950899,DBT,CORP,2046-03-15,4.63,Fixed
11135FAS0,US11135FAS02,BROADCOM INC,Broadcom Inc,15126000.0,14691262.12,0.049328152762,DBT,CORP,2032-11-15,4.3,Fixed
694308LB1,US694308LB11,PACIFIC GAS & ELECTRIC,Pacific Gas and Electric Co,7577000.0,7265965.67,0.024396587686,DBT,CORP,2056-05-01,6.0,Fixed
68389XAV7,US68389XAV73,ORACLE CORP,Oracle Corp,12533000.0,11325316.36,0.038026476617,DBT,CORP,2034-07-08,4.3,Fixed
907818FG8,US907818FG88,UNION PACIFIC CORP,Union Pacific Corp,13640000.0,9824210.0,0.032986283118,DBT,CORP,2060-03-20,3.84,Fixed
30231GBN1,US30231GBN16,EXXON MOBIL CORPORATION,Exxon Mobil Corp,15766000.0,14691430.43,0.049328717889,DBT,CORP,2030-10-15,2.61,Fixed
30303MAL6,US30303MAL63,META PLATFORMS INC,Meta Platforms Inc,21195000.0,21295144.26,0.071501694039,DBT,CORP,2066-05-15,6.45,Fixed
00206RGQ9,US00206RGQ92,AT&T INC,AT&T Inc,16075000.0,15926092.45,0.053474283888,DBT,CORP,2030-02-15,4.3,Fixed
