bond_id,cusip,offering_amt,amount_outstanding,offering_date
1110,46625HJM3,750000000.0,1250000000.0,2013-08-14
1111,65339KBZ2,1000000000.0,1000000000.0,2021-12-08
1112,446150AS3,750000000.0,750000000.0,2020-01-28
1113,161175CS1,1250000000.0,1250000000.0,2025-08-18
1114,00206RNH1,1250000000.0,1250000000.0,2026-01-29
1115,70450YAV5,850000000.0,850000000.0,2026-05-12
1116,907818FX1,1250000000.0,1250000000.0,2022-02-09
1117,126650DR8,1000000000.0,1000000000.0,2021-08-09
1118,03831WAB4,1000000000.0,1000000000.0,2024-11-20
1119,437076CB6,1500000000.0,1500000000.0,2020-03-26
1120,46647PAK2,1500000000.0,1500000000.0,2017-07-17
1121,035242AN6,11000000000.0,1457486000.0,2016-01-13
1123,25278XBC2,1200000000.0,1200000000.0,2025-03-06
1125,22822VAT8,1100000000.0,1100000000.0,2020-06-04
1126,02209SBL6,1750000000.0,1750000000.0,2021-02-01
1127,29444UBU9,1200000000.0,1200000000.0,2022-03-31
1128,91324PDT6,1250000000.0,1250000000.0,2019-07-23
1129,92840VBA9,1000000000.0,1000000000.0,2026-04-08
1130,68902VAK3,1487700000.0,1487700000.0,2020-08-10
1131,428236BR3,1200000000.0,1200000000.0,2011-09-13
1132,125523CF5,1407225000.0,1407225000.0,2020-06-12
1133,054989AB4,1250000000.0,1250000000.0,2023-07-31
1134,126650DN7,1250000000.0,1250000000.0,2020-08-12
1135,90353TAP5,1500000000.0,1500000000.0,2024-09-04
1136,606822BU7,1250000000.0,1250000000.0,2020-07-13
1137,345397E25,1000000000.0,1000000000.0,2024-01-02
1138,472140AF9,1245607000.0,1245607000.0,2025-12-11
1139,91913YAL4,1500000000.0,1500000000.0,2007-06-05
1140,694308JJ7,1925000000.0,,2020-06-16
1141,89788MAT9,1000000000.0,1000000000.0,2024-08-01
1142,166764BY5,1500000000.0,1500000000.0,2020-05-07
1143,931142FU2,1250000000.0,1250000000.0,2026-04-27
1144,87612GAS0,1000000000.0,1000000000.0,2025-11-06
1145,345397G31,1000000000.0,1250000000.0,2024-10-31
1146,45866FAX2,1500000000.0,1500000000.0,2022-05-12
1147,36164QNA2,11406510000.0,6905219000.0,2016-06-20
1148,747525AJ2,1000000000.0,1000000000.0,2015-05-13
1149,458140CK4,1250000000.0,1250000000.0,2023-02-07
1150,404280AH2,750000000.0,1514640000.0,2007-09-05
1151,49177JAH5,973003000.0,973003000.0,2023-10-19
1152,29273VBB5,1250000000.0,1250000000.0,2024-06-06
1153,92343VCX0,5000000000.0,1246661000.0,2015-07-24
1154,097023DR3,999056000.0,999056000.0,2024-11-18
1155,931142FV0,1000000000.0,1000000000.0,2026-04-27
1156,458140BG4,1944308535.0,1944308535.0,2018-05-10
1157,21684AAD8,1250000000.0,1250000000.0,2015-07-28
1158,532457DG0,1000000000.0,1000000000.0,2025-08-18
1159,26441CBT1,1150000000.0,1150000000.0,2022-08-08
1160,337738BE7,900000000.0,900000000.0,2023-02-27
1161,654106AK9,1500000000.0,1500000000.0,2020-03-25
1162,00287YEH8,1250000000.0,1250000000.0,2026-02-24
1163,743315BD4,1000000000.0,1000000000.0,2026-03-23
1164,11135FBT7,1200000000.0,1200000000.0,2022-03-31
1165,95041AAG3,650000000.0,1250000000.0,2025-06-25
1166,20030NEJ6,1300000000.0,1300000000.0,2024-05-20
1167,55336VCA6,1250000000.0,1250000000.0,2025-08-07
1168,37045VAJ9,1250000000.0,1250000000.0,2014-11-04
1169,10373QBR0,1450000000.0,1450000000.0,2021-06-14
1170,233331BN6,1100000000.0,1100000000.0,2025-02-18
1171,713448FM5,1250000000.0,1250000000.0,2022-07-14
1172,29379VBA0,1000000000.0,1400000000.0,2013-03-11
1173,12189LBL4,1300000000.0,1300000000.0,2024-06-03
1174,842587DT1,700000000.0,1100000000.0,2023-09-05
1175,911312BW5,1250000000.0,1250000000.0,2020-03-19
1176,037389BE2,1000000000.0,1000000000.0,2020-05-12
1177,166756BD7,1100000000.0,1100000000.0,2025-02-24
1178,65535HBZ1,750000000.0,750000000.0,2025-06-24
1179,254687FY7,1750000000.0,1750000000.0,2020-05-11
1180,883556DH2,750000000.0,750000000.0,2026-02-09
1181,110122DQ8,1250000000.0,1250000000.0,2020-11-09
1182,89157XAF8,1250000000.0,1250000000.0,2024-09-03
1183,345397J95,1000000000.0,1000000000.0,2026-05-19
1184,742718FW4,850000000.0,850000000.0,2022-01-27
1185,456837BH5,1250000000.0,1250000000.0,2023-09-05
1186,29273VBA7,1250000000.0,1250000000.0,2024-06-06
1187,458140BR0,1500000000.0,1500000000.0,2020-03-20
1188,55336VAN0,1500000000.0,1500000000.0,2018-02-05
1189,30161NAX9,1250000000.0,1250000000.0,2020-03-30
1190,456837BS1,1000000000.0,1000000000.0,2025-03-18
1191,713448EZ7,1000000000.0,1000000000.0,2020-04-29
1192,767201AL0,500000000.0,1150000000.0,2010-10-28
1193,30231GBK7,2000000000.0,2000000000.0,2020-03-17
1194,11135FCC3,875000000.0,875000000.0,2024-09-26
1195,68389XBQ7,2250000000.0,2250000000.0,2017-11-07
1196,674599DL6,1099221000.0,1099221000.0,2019-08-15
1197,571748BJ0,1250000000.0,1250000000.0,2019-01-08
1198,88731EAJ9,1000000000.0,1000000000.0,1993-11-24
1199,89788MAX0,1000000000.0,1000000000.0,2026-04-20
1200,00287YEE5,1250000000.0,1250000000.0,2026-02-24
1201,695114DD7,1100000000.0,1100000000.0,2024-01-03
1202,404119DJ5,1000000000.0,1000000000.0,2026-04-27
1203,75886FAE7,1250000000.0,1250000000.0,2020-08-07
1204,404119CQ0,1250000000.0,1250000000.0,2023-05-01
1205,45866FAH7,1250000000.0,1250000000.0,2018-08-06
1206,758750AN3,998292000.0,998292000.0,2024-04-03
1207,911312BZ8,900000000.0,900000000.0,2023-02-23
1208,74432QCK9,750000000.0,750000000.0,2025-03-11
1209,031162CZ1,1250000000.0,1250000000.0,2021-08-05
1210,115236AM3,1000000000.0,1000000000.0,2025-06-11
1211,532457CG1,1250000000.0,1250000000.0,2023-02-23
1212,58933YCB9,1500000000.0,1500000000.0,2025-12-01
1213,958667AE7,750000000.0,750000000.0,2023-03-30
1214,11135FCW9,1000000000.0,1000000000.0,2025-09-22
1215,76720AAT3,1250000000.0,1250000000.0,2025-03-11
1216,05971KAR0,1250000000.0,1250000000.0,2025-10-30
1217,42824CBT5,1750000000.0,1750000000.0,2024-09-12
1218,694308KM8,1150000000.0,1150000000.0,2023-06-01
1219,87264ADB8,1250000000.0,1250000000.0,2023-05-08
1220,171232AQ4,800000000.0,800000000.0,2007-05-08
1221,58933YCF0,1000000000.0,1000000000.0,2026-05-18
1222,02079KAL1,1250000000.0,1250000000.0,2025-04-28
1223,20030NAC5,750000000.0,750000000.0,2003-03-12
1224,55336VBY5,1000000000.0,1000000000.0,2025-03-03
1226,37045XDE3,1000000000.0,1000000000.0,2021-01-05
1227,90353TAT7,1000000000.0,1000000000.0,2025-09-08
1228,009158BC9,900000000.0,900000000.0,2020-04-27
1229,023135BT2,2500000000.0,2500000000.0,2020-06-01
1230,00206RMY5,1250000000.0,1250000000.0,2025-05-28
1231,532457CS5,1250000000.0,1250000000.0,2024-08-12
1232,134429BP3,1000000000.0,1000000000.0,2024-03-19
1233,458140BU3,1250000000.0,1250000000.0,2021-08-10
1234,472140AH5,1247627000.0,1247627000.0,2025-12-11
1235,00206RDR0,3000000000.0,1055020000.0,2017-01-31
1236,458140CM0,1150000000.0,1150000000.0,2024-02-15
1237,68389XAE5,1250000000.0,1250000000.0,2008-04-02
1238,11135FDB4,1250000000.0,1250000000.0,2026-01-06
1239,969457BZ2,1000000000.0,1000000000.0,2022-08-03
1240,91159HJU5,1200000000.0,1200000000.0,2025-02-05
1241,02209SAV5,1500000000.0,1500000000.0,2016-09-13
1242,91159HJV3,1250000000.0,1250000000.0,2025-05-12
1243,404119DL0,1250000000.0,1250000000.0,2026-04-27
1244,25160PAS6,1000000000.0,1000000000.0,2026-04-09
1245,29379VBX0,1000000000.0,1250000000.0,2020-01-06
1246,37045XDL7,1000000000.0,1000000000.0,2021-06-07
1247,04636NAN3,1500000000.0,1500000000.0,2024-02-21
1248,548661EA1,1500000000.0,1500000000.0,2021-03-29
1249,46647PBM7,1500000000.0,1500000000.0,2020-04-15
1250,883556DJ8,1300000000.0,1300000000.0,2026-02-09
1251,72650RBS0,550000000.0,1000000000.0,2025-09-03
1252,883556CL4,1200000000.0,1200000000.0,2021-08-09
1253,023135CC8,1750000000.0,1750000000.0,2021-05-10
1254,278865BX7,1400000000.0,1400000000.0,2026-05-19
1255,161175BV5,1400000000.0,2050000000.0,2020-04-14
1256,874060AZ9,2000000000.0,2000000000.0,2020-06-29
1257,86562MCW8,1000000000.0,1350000000.0,2023-01-03
1258,693475CB9,1000000000.0,1000000000.0,2025-01-22
1259,30212PBM6,1000000000.0,1000000000.0,2026-04-08
1260,28368EAE6,1100000000.0,1005204000.0,2002-01-08
1261,931142EC3,3000000000.0,1682681000.0,2018-06-20
1262,55336VCD0,1000000000.0,1000000000.0,2025-08-07
1263,437076CC4,1250000000.0,1250000000.0,2020-03-26
1264,29273RAR0,1000000000.0,1000000000.0,2012-01-09
1265,87264AEA9,850000000.0,850000000.0,2026-01-07
1266,404280CK3,1500000000.0,1500000000.0,2020-08-11
1267,16411QAK7,1498763000.0,1498763000.0,2021-10-27
1268,345397G49,1250000000.0,1250000000.0,2025-01-02
1269,91324PFA5,1000000000.0,1000000000.0,2024-03-19
1271,06738ECA1,1000000000.0,1000000000.0,2022-08-02
1272,66989HAV0,1100000000.0,1100000000.0,2024-09-16
1273,92343VHH0,1500000000.0,1500000000.0,2025-11-10
