cusip,window_start,window_end,n_trades,n_capped_trades,total_volume_floor,days_traded,n_customer_trades,n_dealer_trades,median_trade_size
013716AU9,2025-09-04,2025-12-04,331,0,142315000.0,58,,,50000.0
015271AR0,2025-09-04,2025-12-04,630,0,101183000.0,62,,,25000.0
015271AV1,2025-09-04,2025-12-04,791,0,286627500.0,63,,,76000.0
015271AW9,2025-09-04,2025-12-04,887,0,227303000.0,63,,,34000.0
015271AY5,2025-09-04,2025-12-04,718,0,159455000.0,63,,,32000.0
020002BK6,2025-09-04,2025-12-04,1552,0,172070000.0,63,,,25000.0
02079KAD9,2025-09-04,2025-12-04,2311,0,512274110.0,64,,,30000.0
02079KAE7,2025-09-04,2025-12-04,1769,0,425483500.0,63,,,30000.0
02079KAF4,2025-09-04,2025-12-04,1342,0,376286060.0,65,,,49000.0
02079KAG2,2025-09-04,2025-12-04,1600,0,352523308.0,65,,,20000.0
02079KAK3,2025-09-04,2025-12-04,1026,0,345485000.0,62,,,67000.0
02079KAL1,2025-09-04,2025-12-04,4906,0,1721105000.0,65,,,25000.0
02079KAM9,2025-09-04,2025-12-04,2261,0,1579625000.0,67,,,50000.0
02079KAN7,2025-09-04,2025-12-04,2970,0,1072986000.0,64,,,25000.0
02079KAW7,2025-09-04,2025-12-04,2206,6,5212938000.0,22,,,200000.0
02079KAX5,2025-09-04,2025-12-04,2118,0,3755844000.0,23,,,210500.0
02079KAY3,2025-09-04,2025-12-04,3380,8,8748167000.0,23,,,105000.0
02079KAZ0,2025-09-04,2025-12-04,2167,3,3961001000.0,25,,,40000.0
02079KBA4,2025-09-04,2025-12-04,2054,9,10491646000.0,22,,,1550500.0
02079KBB2,2025-09-04,2025-12-04,1437,11,7545132000.0,23,,,2000000.0
02209SAM5,2025-09-04,2025-12-04,802,0,143791000.0,64,,,36000.0
02209SAR4,2025-09-04,2025-12-04,1592,0,201099000.0,67,,,30500.0
02209SAV5,2025-09-04,2025-12-04,984,0,304390000.0,69,,,40000.0
02209SBE2,2025-09-04,2025-12-04,2554,0,403780000.0,70,,,20000.0
02209SBF9,2025-09-04,2025-12-04,1937,0,319218000.0,69,,,20000.0
02209SBJ1,2025-09-04,2025-12-04,1217,0,183618000.0,63,,,25000.0
02209SBL6,2025-09-04,2025-12-04,2062,0,432020000.0,63,,,25000.0
02209SBM4,2025-09-04,2025-12-04,772,0,603467000.0,64,,,156500.0
02209SBN2,2025-09-04,2025-12-04,896,0,446462000.0,64,,,100000.0
02209SBP7,2025-09-04,2025-12-04,1026,0,216732000.0,65,,,37000.0
023135AP1,2025-09-04,2025-12-04,2534,0,468138000.0,67,,,20000.0
023135AQ9,2025-09-04,2025-12-04,2461,0,414483125.0,65,,,25000.0
023135BF2,2025-09-04,2025-12-04,4255,0,871864000.0,64,,,12000.0
023135BJ4,2025-09-04,2025-12-04,1250,0,489083000.0,64,,,80500.0
023135BM7,2025-09-04,2025-12-04,1161,0,504560955.0,64,,,30000.0
023135BS4,2025-09-04,2025-12-04,2515,0,474842000.0,64,,,15000.0
023135BT2,2025-09-04,2025-12-04,1042,0,574309000.0,64,,,100000.0
023135BU9,2025-09-04,2025-12-04,929,0,529632000.0,63,,,80000.0
023135BZ8,2025-09-04,2025-12-04,4764,0,605624000.0,64,,,10000.0
023135CA2,2025-09-04,2025-12-04,1251,0,792745000.0,63,,,60000.0
023135CB0,2025-09-04,2025-12-04,782,0,567938000.0,61,,,100000.0
023135CC8,2025-09-04,2025-12-04,1130,0,393628615.0,63,,,13000.0
023135CH7,2025-09-04,2025-12-04,3223,0,551890500.0,65,,,25000.0
023135CJ3,2025-09-04,2025-12-04,933,0,1220291000.0,65,,,200000.0
023135CK0,2025-09-04,2025-12-04,1114,0,404321325.0,63,,,20000.0
023135CQ7,2025-09-04,2025-12-04,3157,0,480229000.0,64,,,25000.0
023135CR5,2025-09-04,2025-12-04,3035,0,903885915.0,63,,,24000.0
023135CT1,2025-09-04,2025-12-04,2186,6,4442284000.0,13,,,45000.0
023135CU8,2025-09-04,2025-12-04,1137,2,2772259000.0,13,,,250000.0
023135CV6,2025-09-04,2025-12-04,2429,11,5448615000.0,14,,,50000.0
023135CW4,2025-09-04,2025-12-04,1807,6,5338563000.0,13,,,50000.0
023135CY0,2025-09-04,2025-12-04,955,5,3835880000.0,13,,,500000.0
02344AAA6,2025-09-04,2025-12-04,413,0,290064000.0,60,,,152000.0
02344AAH1,2025-09-04,2025-12-04,319,0,546236000.0,60,,,383000.0
023608AJ1,2025-09-04,2025-12-04,1102,0,129712000.0,63,,,13000.0
023608AR3,2025-09-04,2025-12-04,7550,0,561836000.0,63,,,1000.0
025537AX9,2025-09-04,2025-12-04,1935,0,267965000.0,63,,,17000.0
025816BF5,2025-09-04,2025-12-04,676,0,179404000.0,61,,,48500.0
02665WEZ0,2025-09-04,2025-12-04,1087,0,351696000.0,62,,,25000.0
02665WFL0,2025-09-04,2025-12-04,1975,0,294207000.0,64,,,25000.0
02665WFQ9,2025-09-04,2025-12-04,1108,0,165254000.0,63,,,28000.0
02665WGF2,2025-09-04,2025-12-04,2318,0,421967000.0,64,,,25000.0
026874DL8,2025-09-04,2025-12-04,389,0,325793000.0,57,,,250000.0
026874DP9,2025-09-04,2025-12-04,439,0,337086000.0,62,,,200000.0
026874DS3,2025-09-04,2025-12-04,892,0,173886000.0,65,,,40000.0
03027XAW0,2025-09-04,2025-12-04,1787,0,323397000.0,63,,,20000.0
03027XBA7,2025-09-04,2025-12-04,882,0,284127605.0,64,,,20000.0
03027XBC3,2025-09-04,2025-12-04,517,0,212789000.0,60,,,80000.0
03027XBD1,2025-09-04,2025-12-04,272,0,143362000.0,53,,,157000.0
03027XBG4,2025-09-04,2025-12-04,743,0,395716000.0,63,,,74000.0
03027XBK5,2025-09-04,2025-12-04,372,0,144759000.0,59,,,133000.0
03027XBZ2,2025-09-04,2025-12-04,664,0,182530000.0,62,,,43000.0
03027XCD0,2025-09-04,2025-12-04,702,0,233069000.0,64,,,50000.0
03027XCF5,2025-09-04,2025-12-04,1095,0,413073000.0,63,,,10000.0
03027XCN8,2025-09-04,2025-12-04,1618,0,680626000.0,62,,,21000.0
03027XCR9,2025-09-04,2025-12-04,335,0,1099794000.0,3,,,1000000.0
03040WAD7,2025-09-04,2025-12-04,236,0,81564000.0,47,,,45000.0
03040WAR6,2025-09-04,2025-12-04,167,0,58821000.0,46,,,130000.0
03040WBA2,2025-09-04,2025-12-04,1117,0,237453000.0,64,,,25000.0
03040WBF1,2025-09-04,2025-12-04,818,0,388181000.0,63,,,77000.0
03040WBG9,2025-09-04,2025-12-04,775,0,810155000.0,62,,,200000.0
03073EAT2,2025-09-04,2025-12-04,698,0,421814000.0,63,,,64500.0
03076CAM8,2025-09-04,2025-12-04,804,0,128047000.0,63,,,26000.0
03076CAP1,2025-09-04,2025-12-04,1187,0,328520000.0,63,,,39000.0
031162BZ2,2025-09-04,2025-12-04,636,0,209636000.0,63,,,58000.0
031162CD0,2025-09-04,2025-12-04,342,0,167242000.0,54,,,150000.0
031162CF5,2025-09-04,2025-12-04,548,0,375778000.0,61,,,200000.0
031162CR9,2025-09-04,2025-12-04,706,0,251634000.0,63,,,100000.0
031162CS7,2025-09-04,2025-12-04,258,0,151285000.0,50,,,105000.0
031162CU2,2025-09-04,2025-12-04,5523,0,605376000.0,64,,,7000.0
031162CW8,2025-09-04,2025-12-04,2516,0,469556000.0,63,,,16000.0
031162CY4,2025-09-04,2025-12-04,343,0,269260000.0,55,,,163000.0
031162CZ1,2025-09-04,2025-12-04,556,0,232101000.0,62,,,35500.0
031162DE7,2025-09-04,2025-12-04,5786,0,403710000.0,63,,,3000.0
031162DF4,2025-09-04,2025-12-04,262,0,188171000.0,54,,,115000.0
031162DG2,2025-09-04,2025-12-04,237,0,92084000.0,52,,,118000.0
031162DH0,2025-09-04,2025-12-04,2592,0,346249000.0,63,,,25000.0
031162DJ6,2025-09-04,2025-12-04,1895,0,288843000.0,64,,,25000.0
031162DK3,2025-09-04,2025-12-04,347,0,361915000.0,56,,,200000.0
031162DQ0,2025-09-04,2025-12-04,4422,0,753281000.0,63,,,20000.0
031162DR8,2025-09-04,2025-12-04,4216,0,1308745000.0,63,,,15000.0
031162DS6,2025-09-04,2025-12-04,1380,0,381072000.0,63,,,17500.0
031162DT4,2025-09-04,2025-12-04,1408,1,1642045000.0,65,,,200000.0
031162DU1,2025-09-04,2025-12-04,1103,0,1080884000.0,63,,,189000.0
032095AJ0,2025-09-04,2025-12-04,871,0,215427000.0,63,,,25000.0
032095AL5,2025-09-04,2025-12-04,786,0,251264000.0,63,,,25000.0
032095AR2,2025-09-04,2025-12-04,1010,0,449149250.0,63,,,22000.0
032095AY7,2025-09-04,2025-12-04,3116,0,2160704000.0,27,,,5000.0
032095AZ4,2025-09-04,2025-12-04,1093,0,2686542000.0,27,,,500000.0
032095BA8,2025-09-04,2025-12-04,935,3,2868315000.0,27,,,683000.0
032095BB6,2025-09-04,2025-12-04,1043,0,4046879000.0,27,,,1000000.0
032654AV7,2025-09-04,2025-12-04,1032,0,607317000.0,62,,,100000.0
032654AW5,2025-09-04,2025-12-04,405,0,119472000.0,55,,,62000.0
032654AX3,2025-09-04,2025-12-04,364,0,111191995.0,62,,,84000.0
03522AAH3,2025-09-04,2025-12-04,2877,0,1396289000.0,64,,,40000.0
03522AAJ9,2025-09-04,2025-12-04,1999,0,2314929000.0,70,,,155000.0
03523TBF4,2025-09-04,2025-12-04,445,0,238953000.0,62,,,111000.0
03523TBT4,2025-09-04,2025-12-04,416,0,283847000.0,61,,,120000.0
03523TBU1,2025-09-04,2025-12-04,1199,0,383764760.0,63,,,50000.0
03523TBV9,2025-09-04,2025-12-04,1239,0,1019808000.0,65,,,103000.0
03523TBW7,2025-09-04,2025-12-04,593,0,476998000.0,62,,,170000.0
03523TBY3,2025-09-04,2025-12-04,1388,0,275712000.0,63,,,20000.0
035240AG5,2025-09-04,2025-12-04,876,0,272269000.0,63,,,50000.0
035240AR1,2025-09-04,2025-12-04,1304,0,182985000.0,64,,,25000.0
035240AT7,2025-09-04,2025-12-04,124,0,82358000.0,35,,,300000.0
035240AV2,2025-09-04,2025-12-04,7732,0,523692000.0,63,,,4000.0
036752AD5,2025-09-04,2025-12-04,396,0,222062000.0,57,,,155000.0
036752AH6,2025-09-04,2025-12-04,207,0,139942000.0,48,,,143000.0
036752AK9,2025-09-04,2025-12-04,196,0,137893310.0,47,,,100000.0
036752AL7,2025-09-04,2025-12-04,677,0,98807000.0,60,,,24000.0
036752AM5,2025-09-04,2025-12-04,201,0,45910000.0,51,,,80000.0
036752AN3,2025-09-04,2025-12-04,1905,0,283818000.0,63,,,12000.0
036752AP8,2025-09-04,2025-12-04,1741,0,195382000.0,63,,,13000.0
036752AS2,2025-09-04,2025-12-04,334,0,244002000.0,60,,,142500.0
036752AX1,2025-09-04,2025-12-04,404,0,186215000.0,56,,,100000.0
036752AZ6,2025-09-04,2025-12-04,2640,0,547507000.0,63,,,10000.0
036752BA0,2025-09-04,2025-12-04,732,0,591559000.0,62,,,100000.0
036752BB8,2025-09-04,2025-12-04,691,0,166003000.0,63,,,40000.0
036752BC6,2025-09-04,2025-12-04,1918,0,363708000.0,63,,,25000.0
036752BD4,2025-09-04,2025-12-04,5922,0,364590000.0,63,,,3000.0
036752BE2,2025-09-04,2025-12-04,2406,0,1745659000.0,68,,,33500.0
036752BF9,2025-09-04,2025-12-04,498,0,311222000.0,61,,,53000.0
