bond_id,Name,Sector,Maturity_Bucket,Par Value,Liquidity_Score,Weight_Renorm,Sampled_Weight
436,WILLIAMS COMPANIES INC,Energy,3-5yr,17988000,0.8301234635188959,0.00047724035988577665,0.03000000000000002
277,EXXON MOBIL CORP,Energy,15-20yr,24972000,0.8712634482344078,0.0005974319894706893,0.030000000000000016
326,FORD MOTOR COMPANY,Consumer Cyclical,5-7yr,21389000,0.8518405258058249,0.0005554203301773879,0.030000000000000013
347,KINDER MORGAN INC,Energy,15-20yr,19593000,0.8408417312876632,0.0005399052329803413,0.030000000000000013
9,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,7-10yr,49359000,0.9567117471546198,0.0013681494801031976,0.030000000000000006
44,GOLDMAN SACHS GROUP INC/THE MTN,Banking,5-7yr,35368000,0.9149118259190161,0.001033567416522732,0.030000000000000006
1,CVS HEALTH CORP,Consumer Non-Cyclical,20yr+,62588000,0.9864901997630411,0.0015916071786944268,0.030000000000000002
3,GOLDMAN SACHS GROUP INC/THE,Banking,10-15yr,46448000,0.9490886350299382,0.001488542604456903,0.030000000000000002
49,CITIGROUP INC,Banking,3-5yr,34782000,0.9128165863471577,0.0010093880442675948,0.030000000000000002
0,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,15-20yr,69707000,1.0,0.0018495204827492268,0.030000000000000002
32,SALESFORCE INC,Technology,7-10yr,38633000,0.9259852335837176,0.0011271617366269936,0.03
35,MORGAN STANLEY MTN,Banking,10-15yr,37795000,0.9232350443762004,0.0010923031416258371,0.03
2,T-MOBILE USA INC,Communications,3-5yr,54674000,0.9695369450876746,0.0015566478363088737,0.03
171,HOME DEPOT INC,Consumer Cyclical,10-15yr,23705000,0.8647335778389454,0.0007274968627264499,0.03
68,ALPHABET INC,Technology,20yr+,34804000,0.91289588292909,0.0009353387167362361,0.029999999999999995
413,BARCLAYS PLC,Banking,3-5yr,16337000,0.8180501792948958,0.0004914457410856699,0.029999999999999995
34,BANK OF AMERICA CORP,Banking,5-7yr,42946000,0.939257951158519,0.001099254711149189,0.029999999999999995
8,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,20yr+,52677000,0.9648706121772298,0.001409455907705724,0.029999999999999995
39,JPMORGAN CHASE & CO,Banking,5-7yr,39686000,0.9293576489033578,0.0010548251146303739,0.02999999999999999
26,ANHEUSER-BUSCH INBEV WORLDWIDE INC,Consumer Non-Cyclical,20yr+,39922000,0.9301011989530114,0.0011429790759772294,0.02999999999999999
11,BOEING CO,Capital Goods,20yr+,46462000,0.9491264287136182,0.001316264577139048,0.029999999999999978
25,ABBVIE INC,Consumer Non-Cyclical,3-5yr,41125000,0.9338243806104571,0.0011526508248792845,0.026000000000000013
249,PACIFIC GAS AND ELECTRIC COMPANY,Electric,3-5yr,21845000,0.854486034386427,0.0006265479835612508,0.026000000000000006
208,UNITEDHEALTH GROUP INC,Insurance,20yr+,24803000,0.8704118578486366,0.0006844777295891844,0.026000000000000002
89,HONEYWELL AEROSPACE INC 144A,Capital Goods,7-10yr,30460000,0.8961768035972212,0.000876300749479942,0.026000000000000002
31,NVIDIA CORPORATION,Technology,3-5yr,38988000,0.9271323455034662,0.0011302849055432821,0.026000000000000002
19,WELLS FARGO & COMPANY MTN,Banking,7-10yr,41234000,0.9341563280565677,0.0012141067293610923,0.026
37,AMGEN INC,Consumer Non-Cyclical,5-7yr,35637000,0.915862034768894,0.001069735727521042,0.025999999999999995
24,BANK OF AMERICA CORP MTN,Banking,20yr+,50840000,0.9604192111780344,0.00115950164701824,0.0247224430486382
4,META PLATFORMS INC,Communications,7-10yr,52873000,0.9653363612273722,0.0014821955192399294,0.022000000000000013
5,AMAZON.COM INC,Consumer Cyclical,7-10yr,51138000,0.9611521448174296,0.001460534831594702,0.02200000000000001
23,ORACLE CORPORATION,Technology,7-10yr,41827000,0.9359470104426952,0.0011596023944026364,0.022000000000000002
17,AT&T INC,Communications,20yr+,67814000,0.9965472695928845,0.001245539913292771,0.018000000000000006
412,AON NORTH AMERICA INC,Insurance,20yr+,17433000,0.8261932028550963,0.0004914457410856699,0.015277556951361694
181,AMGEN INC,Consumer Non-Cyclical,20yr+,29903000,0.8938623400177633,0.0007201423036655122,0.0040000000000000036
29,ORACLE CORPORATION,Technology,20yr+,43322000,0.9403511382889214,0.0011349192852255169,0.004000000000000003
36,ABBVIE INC,Consumer Non-Cyclical,20yr+,46644000,0.9496167129354293,0.0010813216767266288,0.004000000000000003
76,AT&T INC,Communications,20yr+,48890000,0.9555144508343458,0.0009168011980072973,0.004000000000000002
264,PACIFIC GAS AND ELECTRIC COMPANY,Electric,20yr+,25498000,0.8738775459001868,0.0006094209282138617,0.004000000000000002
88,HONEYWELL AEROSPACE INC 144A,Capital Goods,20yr+,30725000,0.8972631223336294,0.0008818418556217443,0.004000000000000001
7,META PLATFORMS INC,Communications,20yr+,55418000,0.9712319752498177,0.0014136872978503731,0.004000000000000001
20,AMAZON.COM INC,Consumer Cyclical,20yr+,43019000,0.9394709390636267,0.0012032260118462804,0.004000000000000001
305,UNITEDHEALTH GROUP INC,Insurance,20yr+,19882000,0.8426780036950661,0.0005810101658140751,0.004000000000000001
