bond_id,Name,Sector,Rating_Bucket,Maturity_Bucket,Weight_Renorm,Sampled_Weight
1,CVS HEALTH CORP,Consumer Non-Cyclical,BBB,20yr+,0.0015916071786944268,0.009319627286485652
25,ABBVIE INC,Consumer Non-Cyclical,A-or-better,3-5yr,0.0011526508248792845,0.008781684126341846
0,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,A-or-better,15-20yr,0.0018495204827492268,0.008321322477101017
31,NVIDIA CORPORATION,Technology,A-or-better,3-5yr,0.0011302849055432821,0.007740386920325009
165,CVS HEALTH CORP,Consumer Non-Cyclical,BBB,15-20yr,0.0007321312424086845,0.0075539575085619
10,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,5-7yr,0.0013293617371105812,0.007518592424529456
345,ENBRIDGE INC,Energy,BBB,5-7yr,0.0005409127068243054,0.007438443121785121
49,CITIGROUP INC,Banking,A-or-better,3-5yr,0.0010093880442675948,0.007136153855272785
658,UNION PACIFIC CORPORATION,Transportation,A-or-better,20yr+,0.00038767593515737144,0.00698718749252546
37,AMGEN INC,Consumer Non-Cyclical,BBB,5-7yr,0.001069735727521042,0.006922000162147604
23,ORACLE CORPORATION,Technology,BBB,7-10yr,0.0011596023944026364,0.006906548743067894
264,PACIFIC GAS AND ELECTRIC COMPANY,Electric,BBB,20yr+,0.0006094209282138617,0.006881813681687102
17,AT&T INC,Communications,BBB,20yr+,0.001245539913292771,0.0068501713539315156
14,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,A-or-better,7-10yr,0.0012904732467335684,0.006771161033864756
8,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,20yr+,0.001409455907705724,0.006762192097840764
4,META PLATFORMS INC,Communications,A-or-better,7-10yr,0.0014821955192399294,0.006680214623085267
89,HONEYWELL AEROSPACE INC 144A,Capital Goods,A-or-better,7-10yr,0.000876300749479942,0.006571534102701771
16,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0012515847563565553,0.006524489863847404
29,ORACLE CORPORATION,Technology,BBB,20yr+,0.0011349192852255169,0.006514625291800203
100,NVIDIA CORPORATION,Technology,A-or-better,15-20yr,0.0008566550095226427,0.00650793505578364
64,AMAZON.COM INC,Consumer Cyclical,A-or-better,5-7yr,0.0009469246659418229,0.006472553263650677
2,T-MOBILE USA INC,Communications,BBB,3-5yr,0.0015566478363088737,0.00637739882897932
253,BOEING CO,Capital Goods,BBB,7-10yr,0.0006249360254109083,0.006375776897629674
1174,SOUTHERN COMPANY (THE),Electric,BBB,7-10yr,0.00030022720550129076,0.0063743439901601156
580,STARBUCKS CORPORATION,Consumer Cyclical,BBB,3-5yr,0.0004077246646522563,0.006360386236276331
84,WELLS FARGO & COMPANY MTN,Banking,A-or-better,3-5yr,0.0008958457420528448,0.006333434482591635
19,WELLS FARGO & COMPANY MTN,Banking,A-or-better,7-10yr,0.0012141067293610923,0.0063291175520586865
18,WELLS FARGO & COMPANY MTN,Banking,A-or-better,20yr+,0.0012223680148815976,0.006317978024213246
27,AT&T INC,Communications,BBB,20yr+,0.0011424753390552474,0.0062833408682021665
604,GENERAL MOTORS FINANCIAL COMPANY I,Consumer Cyclical,BBB,3-5yr,0.0004019820637416611,0.006270803331540043
393,KROGER CO,Consumer Non-Cyclical,BBB,7-10yr,0.0005040391641352207,0.006178427849118723
21,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0011817668189698458,0.006160530153982938
9,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,7-10yr,0.0013681494801031976,0.0061474018147534785
336,EXXON MOBIL CORP,Energy,A-or-better,3-5yr,0.0005466553077349006,0.006132292851456105
891,DUKE ENERGY CAROLINAS LLC,Electric,A-or-better,20yr+,0.0003416343804882138,0.006104229939537481
34,BANK OF AMERICA CORP,Banking,A-or-better,5-7yr,0.001099254711149189,0.006068017236248663
24,BANK OF AMERICA CORP MTN,Banking,A-or-better,20yr+,0.00115950164701824,0.005993044513366047
6,META PLATFORMS INC,Communications,A-or-better,20yr+,0.0014158029929226975,0.005969212926482495
97,META PLATFORMS INC,Communications,A-or-better,3-5yr,0.0008587707045949672,0.0059638711119571405
7,META PLATFORMS INC,Communications,A-or-better,20yr+,0.0014136872978503731,0.005960292875855857
30,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0011345162956879313,0.005914213986700927
38,BANK OF AMERICA CORP MTN,Banking,A-or-better,5-7yr,0.0010693327379834563,0.0059028443722429925
963,SOUTHERN CALIFORNIA EDISON COMPANY,Electric,A-or-better,20yr+,0.00033014917866702346,0.005899015485657423
412,AON NORTH AMERICA INC,Insurance,BBB,20yr+,0.0004914457410856699,0.005895642671675819
72,BOEING CO,Capital Goods,BBB,3-5yr,0.0009279841576752984,0.005893768869600241
33,CVS HEALTH CORP,Consumer Non-Cyclical,BBB,10-15yr,0.0011221243674071734,0.005889690594494572
210,BAKER HUGHES HOLDINGS LLC,Energy,A-or-better,7-10yr,0.0006837724978984095,0.005849569185346914
39,JPMORGAN CHASE & CO,Banking,A-or-better,5-7yr,0.0010548251146303739,0.00582276055939176
57,AMGEN INC,Consumer Non-Cyclical,BBB,20yr+,0.0009853094193968536,0.00576946163196795
440,CHENIERE ENERGY PARTNERS LP,Energy,BBB,7-10yr,0.00047401644358509163,0.00576843436403052
358,EXXON MOBIL CORP,Energy,A-or-better,20yr+,0.0005319461896130252,0.005765921680927344
636,LOWES COMPANIES INC,Consumer Cyclical,BBB,20yr+,0.00039271330437719174,0.0057626027243098165
115,BANK OF AMERICA CORP MTN,Banking,A-or-better,3-5yr,0.0008102104653158995,0.00572801170816486
22,NVIDIA CORPORATION,Technology,A-or-better,7-10yr,0.0011738077756025297,0.005723978789417465
