bond_id,Name,Sector,Rating_Bucket,Maturity_Bucket,Weight_Renorm,Sampled_Weight
182,GOLDMAN SACHS GROUP INC (FXD-FRN),Banking,A-or-better,5-7yr,0.0007172206295180165,0.003465286377033278
20,AMAZON.COM INC,Consumer Cyclical,A-or-better,20yr+,0.0012032260118462804,0.0034085879400898426
122,VERIZON COMMUNICATIONS INC,Communications,BBB,20yr+,0.000796710315806781,0.0033591658543245277
138,CITIGROUP INC (FXD-FRN),Banking,A-or-better,5-7yr,0.0007686017955601836,0.0033270322581291675
108,BANK OF AMERICA CORP (FXD-FRN) MTN,Banking,A-or-better,5-7yr,0.0008417443966319746,0.003116350941302852
7,META PLATFORMS INC,Communications,A-or-better,20yr+,0.0014136872978503731,0.0030288750161516554
634,NISOURCE INC,Natural Gas,BBB,20yr+,0.000393015546530381,0.003007188530559167
12,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,5-7yr,0.001308507028540525,0.0029893508018983238
129,MORGAN STANLEY PRIVATE BANK NA,Banking,A-or-better,5-7yr,0.0007845198822948158,0.002980649286723748
150,JPMORGAN CHASE & CO,Banking,A-or-better,7-10yr,0.0007543964143602904,0.0029616901107567275
136,JPMORGAN CHASE & CO,Banking,A-or-better,7-10yr,0.0007759563546211214,0.002926232875587062
6,META PLATFORMS INC,Communications,A-or-better,20yr+,0.0014158029929226975,0.002919512472483921
148,BANK OF AMERICA CORP (FXD-FRN) MTN,Banking,A-or-better,5-7yr,0.0007562098672794257,0.0029133656830107107
186,META PLATFORMS INC,Communications,A-or-better,20yr+,0.0007135937236797458,0.002898106890518584
98,JPMORGAN CHASE & CO,Banking,A-or-better,7-10yr,0.0008579647255197961,0.0028666768990515657
790,VIRGINIA ELECTRIC AND POWER COMPAN,Electric,A-or-better,7-10yr,0.00035997040444835966,0.002748325691897604
116,JPMORGAN CHASE & CO,Banking,A-or-better,7-10yr,0.000805878327786854,0.0027402482256949534
187,JPMORGAN CHASE & CO,Banking,A-or-better,7-10yr,0.0007118810181450069,0.0027402482256949534
144,JPMORGAN CHASE & CO,Banking,A-or-better,7-10yr,0.0007629599420339849,0.0027325365204778434
13,META PLATFORMS INC,Communications,A-or-better,7-10yr,0.001293898657803046,0.0026950020383794122
4,META PLATFORMS INC,Communications,A-or-better,7-10yr,0.0014821955192399294,0.0026889969183924952
176,META PLATFORMS INC,Communications,A-or-better,5-7yr,0.0007242729464257648,0.0026540183508564296
688,WALT DISNEY CO,Communications,A-or-better,7-10yr,0.00037971689179005537,0.0025964477517012407
79,DEUTSCHE TELEKOM INTERNATIONAL FIN,Communications,Unknown/Ambiguous,3-5yr,0.0009098496284839452,0.002544543836983577
