bond_id,Name,Sector,Rating_Bucket,Maturity_Bucket,Weight_Renorm,Sampled_Weight
0,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,A-or-better,15-20yr,0.0018495204827492268,0.0549601226259191
1,CVS HEALTH CORP,Consumer Non-Cyclical,BBB,20yr+,0.0015916071786944268,0.04729600268244199
2,T-MOBILE USA INC,Communications,BBB,3-5yr,0.0015566478363088737,0.04625715517447849
3,GOLDMAN SACHS GROUP INC/THE,Banking,BBB,10-15yr,0.001488542604456903,0.04423334850190406
4,META PLATFORMS INC,Communications,A-or-better,7-10yr,0.0014821955192399294,0.044044739300170055
5,AMAZON.COM INC,Consumer Cyclical,A-or-better,7-10yr,0.001460534831594702,0.04340107297679209
6,META PLATFORMS INC,Communications,A-or-better,20yr+,0.0014158029929226975,0.04207182717409527
7,META PLATFORMS INC,Communications,A-or-better,20yr+,0.0014136872978503731,0.042008957440183944
8,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,20yr+,0.001409455907705724,0.04188321797236127
9,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,7-10yr,0.0013681494801031976,0.040655761262663764
10,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,5-7yr,0.0013293617371105812,0.039503149474289276
11,BOEING CO,Capital Goods,BBB,20yr+,0.001316264577139048,0.039113955883409574
12,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,5-7yr,0.001308507028540525,0.03888343352573468
13,META PLATFORMS INC,Communications,A-or-better,7-10yr,0.001293898657803046,0.03844933298206117
14,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,A-or-better,7-10yr,0.0012904732467335684,0.03834754388906187
15,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,3-5yr,0.0012658908849408452,0.03761705745694921
16,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0012515847563565553,0.03719193830383446
17,AT&T INC,Communications,BBB,20yr+,0.001245539913292771,0.03701231049265921
18,WELLS FARGO & COMPANY MTN,Banking,A-or-better,20yr+,0.0012223680148815976,0.03632373721648744
19,WELLS FARGO & COMPANY MTN,Banking,A-or-better,7-10yr,0.0012141067293610923,0.03607824587454794
20,AMAZON.COM INC,Consumer Cyclical,A-or-better,20yr+,0.0012032260118462804,0.0357549158144325
21,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0011817668189698458,0.03511723708476038
22,NVIDIA CORPORATION,Technology,A-or-better,7-10yr,0.0011738077756025297,0.03488072713337964
23,ORACLE CORPORATION,Technology,BBB,7-10yr,0.0011596023944026364,0.03445860177711781
24,BANK OF AMERICA CORP MTN,Banking,A-or-better,20yr+,0.00115950164701824,0.034455607980264896
