bond_id,Name,Sector,Rating_Bucket,Maturity_Bucket,Weight_Renorm,Sampled_Weight
49,CITIGROUP INC,Banking,A-or-better,3-5yr,0.0010093880442675948,0.08436444986366563
35,MORGAN STANLEY MTN,Banking,A-or-better,10-15yr,0.0010923031416258371,0.05820250358520159
8,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,20yr+,0.001409455907705724,0.056235095586716084
16,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0012515847563565553,0.055761691885177864
34,BANK OF AMERICA CORP,Banking,A-or-better,5-7yr,0.001099254711149189,0.055208700730135535
19,WELLS FARGO & COMPANY MTN,Banking,A-or-better,7-10yr,0.0012141067293610923,0.054091938252296426
38,BANK OF AMERICA CORP MTN,Banking,A-or-better,5-7yr,0.0010693327379834563,0.053705906841688064
17,AT&T INC,Communications,BBB,20yr+,0.001245539913292771,0.051754535063729554
60,ALPHABET INC,Technology,A-or-better,20yr+,0.000958107625609824,0.0468605440549775
1,CVS HEALTH CORP,Consumer Non-Cyclical,BBB,20yr+,0.0015916071786944268,0.04279972437967615
25,ABBVIE INC,Consumer Non-Cyclical,A-or-better,3-5yr,0.0011526508248792845,0.039266939505003
14,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,A-or-better,7-10yr,0.0012904732467335684,0.03499991348697368
18,WELLS FARGO & COMPANY MTN,Banking,A-or-better,20yr+,0.0012223680148815976,0.03157847596617239
31,NVIDIA CORPORATION,Technology,A-or-better,3-5yr,0.0011302849055432821,0.03126295787019179
6,META PLATFORMS INC,Communications,A-or-better,20yr+,0.0014158029929226975,0.02997544047852899
22,NVIDIA CORPORATION,Technology,A-or-better,7-10yr,0.0011738077756025297,0.029885670491220963
121,HSBC HOLDINGS PLC,Banking,A-or-better,15-20yr,0.0007998334847230696,0.02884731061535189
440,CHENIERE ENERGY PARTNERS LP,Energy,BBB,7-10yr,0.00047401644358509163,0.028026352885616546
10,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,5-7yr,0.0013293617371105812,0.02747694427848645
77,ORACLE CORPORATION,Technology,BBB,3-5yr,0.0009124690604782518,0.027475722918114908
316,HCA INC,Consumer Non-Cyclical,BBB,3-5yr,0.0005713384169120201,0.02737719984814419
2,T-MOBILE USA INC,Communications,BBB,3-5yr,0.0015566478363088737,0.027291297502012698
29,ORACLE CORPORATION,Technology,BBB,20yr+,0.0011349192852255169,0.02603065003852374
0,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,A-or-better,15-20yr,0.0018495204827492268,0.025857623985889214
59,SALESFORCE INC,Technology,A-or-better,5-7yr,0.0009708017960437711,0.025662409886505085
