bond_id,Name,Sector,Rating_Bucket,Maturity_Bucket,Weight_Renorm,Sampled_Weight
106,AT&T INC,Communications,BBB,7-10yr,0.0008430541126291279,0.030000000000000006
70,WELLS FARGO & COMPANY,Banking,A-or-better,7-10yr,0.0009347342324298576,0.030000000000000002
36,ABBVIE INC,Consumer Non-Cyclical,A-or-better,20yr+,0.0010813216767266288,0.029999999999999995
189,VERIZON COMMUNICATIONS INC,Communications,BBB,10-15yr,0.0007096645756882859,0.029999999999999995
276,GE HEALTHCARE TECHNOLOGIES INC,Consumer Non-Cyclical,BBB,5-7yr,0.0005977342316238785,0.029999999999999992
34,BANK OF AMERICA CORP,Banking,A-or-better,5-7yr,0.001099254711149189,0.029999999999999992
636,LOWES COMPANIES INC,Consumer Cyclical,BBB,20yr+,0.00039271330437719174,0.02999999999999999
604,GENERAL MOTORS FINANCIAL COMPANY I,Consumer Cyclical,BBB,3-5yr,0.0004019820637416611,0.02999999999999999
63,ABBOTT LABORATORIES,Consumer Non-Cyclical,A-or-better,7-10yr,0.0009566971622282742,0.02999999999999999
97,META PLATFORMS INC,Communications,A-or-better,3-5yr,0.0008587707045949672,0.02999999999999999
32,SALESFORCE INC,Technology,A-or-better,7-10yr,0.0011271617366269936,0.029999999999999985
68,ALPHABET INC,Technology,A-or-better,20yr+,0.0009353387167362361,0.029999999999999985
527,SOLVENTUM CORP,Consumer Non-Cyclical,BBB,7-10yr,0.0004303928261414477,0.02999999999999998
282,CISCO SYSTEMS INC,Technology,A-or-better,10-15yr,0.0005949133048607792,0.02999999999999998
62,NVIDIA CORPORATION,Technology,A-or-better,20yr+,0.000956898656997067,0.02999999999999998
121,HSBC HOLDINGS PLC,Banking,A-or-better,15-20yr,0.0007998334847230696,0.02999999999999998
0,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,A-or-better,15-20yr,0.0018495204827492268,0.02999999999999998
412,AON NORTH AMERICA INC,Insurance,BBB,20yr+,0.0004914457410856699,0.029999999999999978
39,JPMORGAN CHASE & CO,Banking,A-or-better,5-7yr,0.0010548251146303739,0.029999999999999975
55,JPMORGAN CHASE & CO MTN,Banking,A-or-better,5-7yr,0.0009921602415358091,0.029999999999999975
88,HONEYWELL AEROSPACE INC 144A,Capital Goods,A-or-better,20yr+,0.0008818418556217443,0.02999999999999997
2,T-MOBILE USA INC,Communications,BBB,3-5yr,0.0015566478363088737,0.029237842574410026
467,BERKSHIRE HATHAWAY ENERGY CO,Electric,A-or-better,7-10yr,0.0004557811670093421,0.028551202007558348
413,BARCLAYS PLC,Banking,Unknown/Ambiguous,3-5yr,0.0004914457410856699,0.02759898706470766
11,BOEING CO,Capital Goods,BBB,20yr+,0.001316264577139048,0.025875331829312804
891,DUKE ENERGY CAROLINAS LLC,Electric,A-or-better,20yr+,0.0003416343804882138,0.02489216613718198
347,KINDER MORGAN INC,Energy,BBB,15-20yr,0.0005399052329803413,0.024808694386362837
658,UNION PACIFIC CORPORATION,Transportation,A-or-better,20yr+,0.00038767593515737144,0.02459454368090558
190,BP CAPITAL MARKETS AMERICA INC,Energy,A-or-better,5-7yr,0.0007087578492287182,0.023671661348039698
339,ALLY FINANCIAL INC,Banking,BBB,5-7yr,0.0005453455917377473,0.02347858940376813
580,STARBUCKS CORPORATION,Consumer Cyclical,BBB,3-5yr,0.0004077246646522563,0.023154164554321878
210,BAKER HUGHES HOLDINGS LLC,Energy,A-or-better,7-10yr,0.0006837724978984095,0.020794403533540184
49,CITIGROUP INC,Banking,A-or-better,3-5yr,0.0010093880442675948,0.020686720303016645
393,KROGER CO,Consumer Non-Cyclical,BBB,7-10yr,0.0005040391641352207,0.008655693176874486
345,ENBRIDGE INC,Energy,BBB,5-7yr,0.0005409127068243054,0.004
37,AMGEN INC,Consumer Non-Cyclical,BBB,5-7yr,0.001069735727521042,0.003999999999999999
661,CHENIERE ENERGY INC,Energy,BBB,7-10yr,0.0003871721982353894,0.003999999999999999
240,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,3-5yr,0.0006371264589228735,0.003999999999999999
514,SABINE PASS LIQUEFACTION LLC,Energy,BBB,3-5yr,0.00043724364828040335,0.003999999999999999
336,EXXON MOBIL CORP,Energy,A-or-better,3-5yr,0.0005466553077349006,0.003999999999999999
322,PHILIP MORRIS INTERNATIONAL INC,Consumer Non-Cyclical,A-or-better,3-5yr,0.000560659194166001,0.003999999999999999
316,HCA INC,Consumer Non-Cyclical,BBB,3-5yr,0.0005713384169120201,0.003999999999999999
436,WILLIAMS COMPANIES INC,Energy,BBB,3-5yr,0.00047724035988577665,0.003999999999999999
139,MORGAN STANLEY MTN,Banking,A-or-better,3-5yr,0.0007672920795630304,0.003999999999999998
328,TAKEDA PHARMACEUTICAL CO LTD,Consumer Non-Cyclical,BBB,3-5yr,0.0005550173406398023,0.003999999999999998
84,WELLS FARGO & COMPANY MTN,Banking,A-or-better,3-5yr,0.0008958457420528448,0.0039999999999999975
115,BANK OF AMERICA CORP MTN,Banking,A-or-better,3-5yr,0.0008102104653158995,0.0039999999999999975
156,MORGAN STANLEY PRIVATE BANK NA,Banking,A-or-better,3-5yr,0.0007460343814553887,0.0039999999999999975
440,CHENIERE ENERGY PARTNERS LP,Energy,BBB,7-10yr,0.00047401644358509163,0.0039999999999999975
143,WELLS FARGO & COMPANY MTN,Banking,A-or-better,3-5yr,0.0007641689106467418,0.003999999999999997
