method,target_n,n_holdings,sector_L1_deviation_pct,maturity_L1_deviation_pct,rating_L1_deviation_pct,duration,duration_abs_diff,ytm,ytm_abs_diff_pct,top10_issuer_weight_pct,max_issuer_weight_pct,issuer_hhi,coupon,years_to_maturity,weighted_avg_liquidity_score,sector_weights.Banking,sector_weights.Basic Industry,sector_weights.Brokerage/Asset Managers/Exchanges,sector_weights.Capital Goods,sector_weights.Communications,sector_weights.Consumer Cyclical,sector_weights.Consumer Non-Cyclical,sector_weights.Electric,sector_weights.Energy,sector_weights.Finance Companies,sector_weights.Financial Other,sector_weights.Industrial Other,sector_weights.Insurance,sector_weights.Natural Gas,sector_weights.Owned No Guarantee,sector_weights.Reits,sector_weights.Technology,sector_weights.Transportation,sector_weights.Utility Other,maturity_weights.0-1yr,maturity_weights.1-2yr,maturity_weights.2-3yr,maturity_weights.3-5yr,maturity_weights.5-7yr,maturity_weights.7-10yr,maturity_weights.10-15yr,maturity_weights.15-20yr,maturity_weights.20yr+,rating_weights.A-or-better,rating_weights.BBB,rating_weights.Unknown/Ambiguous
largest_holdings,25,25,62.2412346763312,55.64485692123491,7.774535290393891,8.82793724403037,0.9706092036959522,5.914879200296985,0.30944314546784035,85.45344047134338,16.657485689651043,913.4636694063703,5.189473870141068,15.413287848276525,0.956777535152464,0.22340011496179918,0.0,0.0,0.039113955883409574,0.3670005748089958,0.0791559887912246,0.22199003664407352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06933932891049746,0.0,0.0,0.0,0.0,0.0,0.08387421263142769,0.07838658300002396,0.38262520058438915,0.04423334850190406,0.0549601226259191,0.35592053265633616,0.6344723732426414,0.3655276267573588,0.0
largest_holdings,50,50,58.080896364451775,27.461280815229056,22.23976907168579,8.08481672209468,0.2274886817602617,5.786965025532325,0.1815289707031802,62.9615171217744,12.632437514742964,567.9218864557691,4.9473853371031025,13.935548510503125,0.9442541436305477,0.31636161878594377,0.0,0.0,0.021703306743390993,0.27306132077038847,0.06268792090128941,0.21499812286746114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11118770993152619,0.0,0.0,0.0,0.0,0.0,0.11959161569615039,0.14801273127767936,0.30101232262758687,0.09527361283227738,0.04756952865700303,0.28854018890930294,0.7067985421491008,0.2932014578508992,0.0
largest_holdings,100,100,50.05425663115345,27.283899973608992,33.609888512650826,8.229381966517332,0.37205392618291455,5.74405195001179,0.13861589518264505,55.0453195001179,10.594671068144306,459.66907646863154,5.021676321622259,14.613230091633433,0.9286359455621066,0.36040839424663995,0.0,0.0,0.04552699834944589,0.21566611648196182,0.061441169535486916,0.16683423720820562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15012308417825987,0.0,0.0,0.0,0.0,0.0,0.11007498231549163,0.17077953312897906,0.26399056826220235,0.115163404857345,0.036356519688752656,0.3036349917472294,0.763649139353926,0.22783305824098088,0.00851780240509314
largest_holdings,200,200,59.6002051112677,22.906153058810684,35.23940918324263,7.577948703828628,0.27937933650578906,5.662396288392969,0.0569602335638244,55.34171290113854,7.658466071010643,400.8318930611254,4.916771166210059,12.957561087826893,0.909494587690972,0.4525341079615073,0.0,0.0,0.03445571816016631,0.1879444360312238,0.053026419042636684,0.1302818122995168,0.0,0.0038740586753307545,0.004434654514916641,0.0,0.0,0.0,0.0,0.0,0.0,0.13344879331470189,0.0,0.0,0.0,0.0,0.0,0.1419865908558999,0.20520451009815938,0.2514503627627793,0.12515384721285294,0.050512548701075216,0.22569214036923338,0.771796742706885,0.22323003428005014,0.004973223013064967
stratified,25,25,65.78899874394415,14.117751690518906,34.72896411470208,7.4607531434293115,0.39657489690510594,5.658293934766626,0.05285787993748148,70.38927808441838,10.946759872686593,631.0610721079366,4.64937552696734,13.09830735329743,0.9335184123338325,0.4217609777396894,0.0,0.0,0.0,0.10902127304427124,0.0,0.25401344107088875,0.0,0.028026352885616546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18717795525953398,0.0,0.0,0.0,0.0,0.0,0.2370385675071322,0.16205396173681513,0.20276556700128548,0.05820250358520159,0.0547049346012411,0.2852344655683244,0.7692445173641823,0.2307554826358178,0.0
stratified,50,50,33.51937532805203,13.119297738963706,11.620679461887761,7.708295891405303,0.14903214892911443,5.7138398196111035,0.10840376478195868,49.6512597506872,7.832918538056967,377.4601599142453,4.815323281044738,13.381090224445234,0.9166999813006692,0.30192485613233766,0.0,0.0,0.01148930335132854,0.11889033299365541,0.07883515099638128,0.22541061902257564,0.015868977292581892,0.06633453714256403,0.0,0.0,0.0,0.01747731072427756,0.0,0.0,0.0,0.16376891234429788,0.0,0.0,0.0,0.0,0.0,0.21369748671853492,0.1665833865582845,0.21538698728998368,0.06652397570931265,0.03916146912814397,0.2986466945957403,0.6537030941001106,0.3462969058998893,0.0
stratified,100,100,15.58691678312314,7.5291832963472585,4.711447985302761,7.769317128304658,0.08801091202975986,5.700559966146836,0.09512391131769071,41.04586014195842,6.641715705895182,280.66022858485275,4.858312816467809,13.261636490311298,0.902352043882094,0.2502575226463567,0.0,0.0,0.046543486975087346,0.1216565884574891,0.07723310277119955,0.19768132484622086,0.03804666111346443,0.08526427935829242,0.0,0.0,0.0,0.025715188008115637,0.0,0.0,0.0,0.1500928218701404,0.0075090239536336045,0.0,0.0,0.0,0.0,0.2041554015315845,0.16638533442881143,0.21931429324129803,0.07116449987538462,0.06266956930462726,0.276310901618294,0.6191569367171856,0.37601670509368895,0.00482635818912539
stratified,200,200,11.37583148963746,2.6415470453092667,4.653858341564165,7.80071921345136,0.056608826883057795,5.688029825241552,0.0825937704124069,37.08937185358373,5.9316527386223585,234.9707840716454,4.883480670253285,13.324934719840055,0.8872317343475415,0.24539367093588596,0.0024925976551240835,0.002709958695891073,0.04330896692551958,0.11855292217780336,0.08085444933751731,0.18394354432748863,0.03953182283576137,0.08927752033819264,0.00526505316141824,0.0,0.0,0.03857419975148977,0.0,0.0,0.0,0.14310810636538285,0.00698718749252546,0.0,0.0,0.0,0.0,0.198897366679809,0.16946974597747055,0.21371043342915813,0.0847014752223294,0.07340222825929409,0.25981875043193897,0.6188689884984928,0.37052011124211814,0.010610900259389322
optimization,25,25,25.33848703219967,21.711498178084334,20.743658355141775,7.540400000000002,0.3169280403344157,5.5832000000000015,0.02223605482914337,40.000000000000014,4.000000000000001,400.0000000000002,4.488000000000001,12.595318275154007,0.8891813002394632,0.24000000000000005,0.0,0.0,0.0,0.12000000000000002,0.08000000000000002,0.20000000000000004,0.08000000000000002,0.08000000000000002,0.0,0.0,0.0,0.08000000000000002,0.0,0.0,0.0,0.12000000000000002,0.0,0.0,0.0,0.0,0.0,0.28,0.20000000000000004,0.12000000000000002,0.08000000000000002,0.08000000000000002,0.24000000000000005,0.52,0.4800000000000001,0.0
optimization,50,50,14.590752034895674,5.540139772891184,0.1857215401517998,7.867315803884402,0.009987763549984763,5.563369329123689,0.04206672570545589,29.999999999999993,3.0000000000000004,267.1221797694508,4.872147104754704,13.03497983621667,0.8771431670569416,0.24176429677149236,0.0,0.0,0.05587533182931277,0.11923784257441002,0.08315416455432185,0.17865569317687444,0.05344336814474033,0.09327475926794271,0.0,0.0,0.0,0.029999999999999978,0.0,0.0,0.0,0.11999999999999994,0.02459454368090558,0.0,0.0,0.0,0.0,0.20867771449645622,0.17515025075180776,0.21600129871797294,0.05999999999999998,0.08480869438636279,0.2553620416474003,0.5951906970102422,0.37721031592505017,0.02759898706470766
