target_n,lambda_liq,n_holdings,weighted_avg_liquidity_score,sector_L1_deviation_pct,maturity_L1_deviation_pct,duration,duration_abs_diff,ytm,ytm_abs_diff_pct,top10_issuer_weight_pct,max_issuer_weight_pct,issuer_hhi,coupon,years_to_maturity,rating_L1_deviation_pct,sector_weights.Banking,sector_weights.Basic Industry,sector_weights.Brokerage/Asset Managers/Exchanges,sector_weights.Capital Goods,sector_weights.Communications,sector_weights.Consumer Cyclical,sector_weights.Consumer Non-Cyclical,sector_weights.Electric,sector_weights.Energy,sector_weights.Finance Companies,sector_weights.Financial Other,sector_weights.Industrial Other,sector_weights.Insurance,sector_weights.Natural Gas,sector_weights.Owned No Guarantee,sector_weights.Reits,sector_weights.Technology,sector_weights.Transportation,sector_weights.Utility Other,maturity_weights.0-1yr,maturity_weights.1-2yr,maturity_weights.2-3yr,maturity_weights.3-5yr,maturity_weights.5-7yr,maturity_weights.7-10yr,maturity_weights.10-15yr,maturity_weights.15-20yr,maturity_weights.20yr+,rating_weights.A-or-better,rating_weights.BBB,rating_weights.Unknown/Ambiguous
50,0.0,50,0.8771431670569417,14.590752034895699,5.540139772891189,7.867315803884403,0.009987763549985651,5.56336932912369,0.042066725705455,30.00000000000001,3.0000000000000018,267.1221797694509,4.872147104754703,13.034979836216671,0.1857215401517967,0.24176429677149236,0.0,0.0,0.055875331829312785,0.11923784257441006,0.08315416455432191,0.17865569317687444,0.053443368144740315,0.09327475926794274,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.12,0.02459454368090555,0.0,0.0,0.0,0.0,0.20867771449645622,0.1751502507518078,0.216001298717973,0.060000000000000005,0.08480869438636279,0.2553620416474003,0.5951906970102424,0.37721031592505005,0.027598987064707578
50,0.0025,50,0.9078238991532012,14.893415569887564,5.985644086224455,7.837922035615973,0.019406004718444336,5.611129023467485,0.005692968638340012,30.00000010716321,3.0000000194100305,281.46862903470566,4.75570008681856,12.685746488462769,1.8437969047510268,0.24154215328970285,0.0,0.0,0.060000000165104705,0.12000000023189522,0.07058959396666814,0.16481296558289843,0.05216409592577077,0.08089119051673459,0.0,0.0,0.0,0.060000000079876936,0.0,0.0,0.0,0.12000000021164112,0.03000000002970706,0.0,0.0,0.0,0.0,0.21240756107551,0.16652493117380773,0.20200000132748896,0.09817631525192372,0.08889119042846402,0.23200000074280538,0.6048186813144271,0.3716300384480535,0.023551280237519404
50,0.005,50,0.9093592941724602,10.162308066158001,2.0746941107529735,7.843774920612904,0.013553119721513518,5.602501377357839,0.0029346774713054913,30.000000000019806,3.0000000000027853,267.05402570201863,4.7461638945288875,12.712434158114975,0.006057601991632175,0.23658951616264282,0.0,0.0,0.050788980216211733,0.11558489884507218,0.0794890983077359,0.17364533589825223,0.04708250199522851,0.08694082704379888,0.0,0.0,0.0,0.04431603271543719,0.0,0.0,0.0,0.13556280881559624,0.03000000000002431,0.0,0.0,0.0,0.0,0.2037346060386585,0.17160080243499765,0.2125619964122725,0.08932209401274144,0.08278050110113744,0.24000000000019245,0.5956080268745881,0.376303666150333,0.028088306975078862
50,0.0075,50,0.9078167034342576,16.208805757441468,7.637340085145539,7.71065282009227,0.1466752202421473,5.581971017587792,0.02346503724135296,30.000000070623667,3.000000009943018,293.0361207374116,4.723559711428432,12.360903706291861,0.37628102036017413,0.24000000027822307,0.0,0.0,0.057868667838298866,0.12000000021596147,0.0866511390683655,0.15000000014566842,0.05308113385846181,0.09000000006245763,0.0,0.0,0.0,0.03000000009204281,0.0,0.0,0.0,0.1423990584253965,0.03000000001512409,0.0,0.0,0.0,0.0,0.19800000050883737,0.1824690035228943,0.22353099497543635,0.09000000005949331,0.09000000003905681,0.21600000089428198,0.5945198072479476,0.37548019266521454,0.030000000086837942
50,0.01,50,0.9066615250755312,10.16230806615801,2.0746941107888683,7.785339808518359,0.07198823181605807,5.599997402688385,0.005438652140759892,30.000000000001332,3.0000000000001896,259.92727748586395,4.761161904177932,12.630952106015952,0.026110492618203196,0.23624868625851247,0.0,0.0,0.05103463941748934,0.11559771134717844,0.07953980208140671,0.17358176253928564,0.0469182529438394,0.0870543237522737,0.0,0.0,0.0,0.044249112324610165,0.0,0.0,0.0,0.1357757093354026,0.030000000000001626,0.0,0.0,0.0,0.0,0.20312916418215723,0.17146848634677525,0.21245648127558098,0.08945973065025871,0.08348613754521486,0.240000000000013,0.595528616004856,0.37622223654701603,0.028249147448128065
50,0.015,50,0.9105520128493744,12.264167118110189,2.0617084960166077,7.848913970912147,0.008414069422270742,5.61241982597908,0.006983771149934981,30.00663730063383,3.0009426872661025,266.963489461456,4.813559626369891,12.734166626458219,0.021871454838344462,0.23839055076514526,0.0,0.0,0.052594216495069346,0.11745394456629311,0.08124885938727469,0.1754701269134905,0.048856271031827846,0.08870441120059462,0.0,0.0,0.0,0.030008381070326124,0.0,0.0,0.0,0.1372654977428554,0.030007740827122983,0.0,0.0,0.0,0.0,0.20384807630370452,0.17163080630246472,0.21249326412598304,0.08927203722576577,0.08269088796820762,0.24006492807387425,0.5957090540648636,0.3762694752102221,0.02802147072491419
50,0.02,50,0.9106329035565102,12.265843332175411,2.074694110791265,7.848277020395344,0.009051019939073868,5.613243793199324,0.007807738370178896,30.000000000000114,3.000000000000017,267.3640389062315,4.811093645317049,12.73106632169021,0.02847230297727127,0.23840697300922298,0.0,0.0,0.05260122531652288,0.11749436790884416,0.08123140971606962,0.17548429033792667,0.04884194012768671,0.08869683160727215,0.0,0.0,0.0,0.030000000000000148,0.0,0.0,0.0,0.1372429619764547,0.030000000000000134,0.0,0.0,0.0,0.0,0.20386767635398856,0.1716350974030881,0.2125029204885803,0.08928421946057102,0.08271008629377108,0.24000000000000107,0.5957420583055584,0.3762691666924617,0.027988775001980062
50,0.025,50,0.9109653600767716,12.265843332175429,2.0746941107913943,7.832284498946458,0.0250435413879595,5.617183398474232,0.011747343645087227,30.00000000000005,3.000000000000008,265.32200236250327,4.800679442823332,12.706282488921953,0.02467750968848173,0.2383189397227103,0.0,0.0,0.052826276753359575,0.11747539184856114,0.08115078069255087,0.1754594702200665,0.04866389438856189,0.08865591387047476,0.0,0.0,0.0,0.030000000000000058,0.0,0.0,0.0,0.13744933250371502,0.03000000000000005,0.0,0.0,0.0,0.0,0.203757256480427,0.17167409700081326,0.21238718418758956,0.08922144435315069,0.08296001797801923,0.24000000000000046,0.5956924304772798,0.3763123620861256,0.027995207436594664
50,0.03,50,0.9101659951512368,12.26584333217538,2.5905664985029064,7.870050635229035,0.012722594894617245,5.641519718302705,0.03608366347356018,30.000000000003446,3.0000000000008087,276.3219725354391,4.663678579695322,12.835831331014269,0.07146327408586381,0.2384759113554717,0.0,0.0,0.055811116699281973,0.11827401890761116,0.08182498612286188,0.1763365783966792,0.04938980366135626,0.08951321140200813,0.0,0.0,0.0,0.03000000000000021,0.0,0.0,0.0,0.1377049881091889,0.02266938534554056,0.0,0.0,0.0,0.0,0.2050844246391506,0.17297342626717233,0.1980000000000484,0.09032933638699935,0.08313231066180705,0.2504805020448223,0.5955764383599097,0.37594765028462396,0.028475911355466337
50,0.04,50,0.9082847384384999,12.487216768877989,3.1143484424827115,7.805429993444531,0.051898046889886196,5.616904260446405,0.011468205617259919,30.000000000001307,3.000000000000321,267.2396030289915,4.75144811050018,12.614333773430992,0.6958895059737226,0.24029071329825188,0.0,0.0,0.054714596898712886,0.11458258750190285,0.08370072052951708,0.17763711120364747,0.0456845052786603,0.09078034407969932,0.0,0.0,0.0,0.0426094212096064,0.0,0.0,0.0,0.12000000000000136,0.030000000000000467,0.0,0.0,0.0,0.0,0.2079378114248737,0.17032674825844468,0.21717754681110477,0.08600000000000671,0.08255789350556185,0.23600000000000831,0.5939481309475986,0.37976115575415964,0.02629071329824174
