category,benchmark_%,no_liq_N50_%,with_liq_N50_%,no_liq_N100_%,with_liq_N100_%,no_liq_N200_%,with_liq_N200_%
A-or-better,59.56,59.519,59.767,59.56,59.433,59.56,59.99
BBB,37.628,37.721,37.773,37.628,37.887,37.628,38.063
Unknown/Ambiguous,2.812,2.76,2.46,2.812,2.68,2.812,1.947
