N,lambda,liquidity_score,ytm_%,ytm_diff_pp,duration,duration_diff,sector_L1_pp,rating_L1_pp,maturity_L1_pp,top10_issuer_%,max_issuer_%,issuer_hhi
200,0.01,0.7693,5.5605,0.045,7.858,0.001,1.226,0.021,0.194,29.92,3.0,204.4
200,0.015,0.7732,5.5991,0.0063,7.853,0.004,1.553,0.026,0.1,30.0,3.0,218.7
200,0.02,0.7737,5.5977,0.0077,7.849,0.008,1.553,0.032,0.102,30.0,3.0,224.4
200,0.025,0.7744,5.5974,0.0081,7.85,0.007,1.268,0.047,0.1,30.01,3.01,219.7
200,0.03,0.7744,5.5973,0.0082,7.85,0.008,1.292,0.058,0.1,30.0,3.0,218.0
200,0.04,0.775,5.5951,0.0103,7.844,0.013,1.337,0.061,0.108,30.0,3.01,217.5
200,0.05,0.7738,5.5973,0.0082,7.837,0.02,1.374,0.082,0.106,30.01,3.0,227.7
200,0.06,0.775,5.5971,0.0083,7.834,0.023,2.904,0.099,0.109,30.02,3.01,224.8
200,0.075,0.7763,5.5946,0.0108,7.829,0.028,1.512,0.094,0.162,30.0,3.0,218.1
200,0.09,0.7746,5.5502,0.0553,7.808,0.049,2.298,0.119,0.875,29.6,3.0,204.0
200,0.1,0.7749,5.5502,0.0552,7.807,0.05,2.427,0.134,0.912,29.6,3.0,204.1
200,0.125,0.778,5.5564,0.049,7.795,0.062,1.998,0.182,0.471,30.0,3.0,204.7
200,0.15,0.779,5.5995,0.006,7.787,0.071,3.953,0.326,0.443,30.0,3.0,223.5
200,0.175,0.7781,5.5609,0.0445,7.775,0.083,2.498,0.252,0.741,30.0,3.0,202.5
200,0.2,0.7779,5.5856,0.0198,7.74,0.117,3.155,1.256,1.318,30.0,3.0,224.1
200,0.25,0.7784,5.5481,0.0573,7.768,0.089,3.321,0.358,1.294,30.0,3.0,206.0
200,0.3,0.7796,5.6084,0.003,7.785,0.072,4.553,0.673,0.312,30.0,3.0,230.8
200,0.4,0.7808,5.5621,0.0434,7.739,0.118,3.447,0.725,0.786,30.0,3.0,208.1
200,0.5,0.7815,5.5649,0.0406,7.728,0.129,3.889,0.915,1.017,30.0,3.0,208.0
200,0.75,0.7825,5.5677,0.0377,7.68,0.178,5.102,1.261,1.803,30.0,3.0,211.7
200,1.0,0.7837,5.5703,0.0351,7.658,0.2,5.856,1.73,2.233,30.0,3.0,212.9
200,1.5,0.786,5.5634,0.0421,7.621,0.237,8.052,2.59,2.582,30.0,3.0,213.5
200,2.0,0.7876,5.5646,0.0409,7.601,0.256,9.283,3.439,3.269,30.0,3.0,216.4
