category,benchmark_%,no_liq_N50_%,with_liq_N50_%,no_liq_N100_%,with_liq_N100_%,no_liq_N200_%,with_liq_N200_%
0-1yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-2yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-3yr,0.05,0.0,0.0,0.0,0.0,0.0,0.0
3-5yr,20.181,20.868,20.502,20.19,20.436,20.19,20.531
5-7yr,16.963,17.515,17.016,16.971,16.999,16.971,17.327
7-10yr,21.045,21.6,21.471,21.053,22.416,21.053,21.297
10-15yr,8.72,6.0,7.977,8.728,8.501,8.728,8.87
15-20yr,8.054,8.481,8.255,8.062,7.935,8.062,7.693
20yr+,24.987,25.536,24.778,24.995,23.714,24.995,24.281
